onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.031	1.635	1.633	6.09	6.09	0	14	14	7	0	0.005278272	6.09	5.67094121667	11.7609412167	0.419058783327	6.09	5.67094121667	0.419058783327
22.072	1.527	1.527	0.21	24.91	30	42	12	8	0	0.005278272	0.181292643483	20.3898309098	20.5711235533	20.2085382663	20.3898309098	0.181292643483	20.2085382663
34.13	4.024	4.021	16.92	19.46	0	14	14	7	0	0.005278272	16.92	18.1209386004	35.0409386004	1.2009386004	16.92	18.1209386004	1.2009386004
46.171	2.42	2.42	6.93	10.4	30	42	12	8	0	0.005278272	5.98265723494	8.51281579534	14.4954730303	2.53015856041	8.51281579534	5.98265723494	2.53015856041
58.212	1.845	1.842	17.0	21.25	30	42	12	8	0	0.005278272	14.6760711391	17.3939745818	32.0700457209	2.71790344274	17.3939745818	14.6760711391	2.71790344274
70.253	2.185	2.185	23.15	24.31	30	42	12	7	0	0.005278272	19.9853556982	19.8987069216	39.8840626199	0.0866487766224	19.9853556982	19.8987069216	0.0866487766224
82.311	2.807	2.807	12.69	13.96	14	42	28	7	0	0.005278272	11.8167888407	11.4268181253	23.2436069659	0.389970715366	11.8167888407	11.4268181253	0.389970715366
94.369	3.445	3.444	20.63	27.85	30	42	12	8	0	0.005278272	17.8098439764	22.796338452	40.6061824284	4.98649447551	22.796338452	17.8098439764	4.98649447551
106.394	1.662	1.66	25.03	25.28	0	30	30	7	0	0.005278272	25.03	21.8241810821	46.8541810821	3.20581891786	25.03	21.8241810821	3.20581891786
118.435	1.922	1.922	17.46	26.19	0	14	14	8	0	0.005278272	17.46	24.3878407988	41.8478407988	6.9278407988	24.3878407988	17.46	6.9278407988
130.493	3.688	3.688	14.92	22.38	14	30	16	8	0	0.005278272	13.8933403863	19.3206160055	33.2139563918	5.42727561913	19.3206160055	13.8933403863	5.42727561913
142.55	5.297	5.294	10.06	13.58	14	42	28	8	0	0.005278272	9.3677616814	11.1157729328	20.4835346142	1.74801125136	11.1157729328	9.3677616814	1.74801125136
154.608	2.719	2.716	9.84	9.94	30	42	12	7	0	0.005278272	8.49485529463	8.1362874044	16.631142699	0.358567890233	8.49485529463	8.1362874044	0.358567890233
166.649	2.963	2.963	11.93	14.91	14	42	28	8	0	0.005278272	11.1090851749	12.2044311066	23.3135162815	1.09534593173	12.2044311066	11.1090851749	1.09534593173
178.707	3.697	3.696	11.68	12.03	14	30	16	7	0	0.005278272	10.8762879164	10.3854785767	21.261766493	0.490809339713	10.8762879164	10.3854785767	0.490809339713
190.765	1.761	1.758	16.6	24.9	0	30	30	8	0	0.005278272	16.6	21.4961277273	38.0961277273	4.89612772726	21.4961277273	16.6	4.89612772726
202.806	5.136	5.133	20.6	21.22	30	42	12	7	0	0.005278272	17.7839450274	17.3694183824	35.1533634098	0.414526644952	17.7839450274	17.3694183824	0.414526644952
