onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.045	2.043	2.043	11.27	11.27	14	42	28	7	0	0.001406497	11.0523682804	10.6413829272	21.6937512075	0.410985353232	11.0523682804	10.6413829272	0.410985353232
22.086	1.978	1.978	0.14	24.33	14	30	16	8	0	0.001406497	0.137296500378	23.3449614526	23.4822579529	23.2076649522	23.3449614526	0.137296500378	23.2076649522
34.111	1.961	1.96	5.66	8.49	0	14	14	8	0	0.001406497	5.66	8.32605205861	13.9860520586	2.66605205861	8.32605205861	5.66	2.66605205861
46.136	1.698	1.696	14.32	19.33	0	14	14	8	0	0.001406497	14.32	18.956723945	33.276723945	4.63672394498	18.956723945	14.32	4.63672394498
58.177	1.574	1.574	9.62	12.99	30	42	12	8	0	0.001406497	9.23051907824	12.2654449178	21.4959639961	3.03492583958	12.2654449178	9.23051907824	3.03492583958
70.201	2.406	2.406	8.71	11.76	0	30	30	8	0	0.001406497	8.71	11.2838777921	19.9938777921	2.57387779211	11.2838777921	8.71	2.57387779211
82.243	2.318	2.315	21.66	21.88	14	42	28	7	0	0.001406497	21.241729987	20.6595792765	41.9013092635	0.582150710473	21.241729987	20.6595792765	0.582150710473
94.284	3.133	3.13	15.11	16.62	0	14	14	7	0	0.001406497	15.11	16.2990559734	31.4090559734	1.18905597339	15.11	16.2990559734	1.18905597339
106.325	2.977	2.977	29.25	36.56	0	30	30	8	0	0.001406497	29.25	35.079810551	64.329810551	5.82981055098	35.079810551	29.25	5.82981055098
118.367	2.039	2.04	15.94	16.42	14	42	28	8	0	0.001406497	15.6321872573	15.5041266783	31.1363139355	0.128060579014	15.5041266783	15.6321872573	0.128060579014
130.392	2.184	2.182	23.96	25.16	0	30	30	8	0	0.001406497	23.96	24.1413575892	48.1013575892	0.181357589244	24.1413575892	23.96	0.181357589244
142.432	1.902	1.901	13.06	14.37	30	42	12	8	0	0.001406497	12.5312452351	13.5684713987	26.0997166338	1.03722616358	13.5684713987	12.5312452351	1.03722616358
154.49	2.859	2.859	29.91	34.4	14	42	28	8	0	0.001406497	29.3324166164	32.4812398132	61.8136564295	3.14882319679	32.4812398132	29.3324166164	3.14882319679
166.515	2.301	2.298	12.33	14.18	14	30	16	8	0	0.001406497	12.0918989261	13.6059002629	25.697799189	1.51400133683	13.6059002629	12.0918989261	1.51400133683
178.556	1.713	1.713	11.58	15.63	14	42	28	8	0	0.001406497	11.3563819598	14.7581912291	26.1145731889	3.40180926926	14.7581912291	11.3563819598	3.40180926926
190.614	2.103	2.103	12.48	12.6	0	14	14	7	0	0.001406497	12.48	12.356685034	24.836685034	0.123314966023	12.48	12.356685034	0.123314966023
202.655	1.998	1.997	26.35	39.52	0	30	30	8	0	0.001406497	26.35	37.9199702674	64.2699702674	11.5699702674	37.9199702674	26.35	11.5699702674
214.697	2.734	2.731	23.52	24.7	0	14	14	8	0	0.001406497	23.52	24.2230254237	47.7430254237	0.703025423748	24.2230254237	23.52	0.703025423748
226.738	1.258	1.258	20.67	31.0	14	42	28	8	0	0.001406497	20.2708475915	29.2708847153	49.5417323068	9.00003712389	29.2708847153	20.2708475915	9.00003712389
238.763	1.761	1.761	9.81	11.28	0	14	14	8	0	0.001406497	9.81	11.0621751733	20.8721751733	1.25217517327	11.0621751733	9.81	1.25217517327
250.804	1.306	1.303	26.36	32.95	0	14	14	8	0	0.001406497	26.36	32.3137120531	58.6737120531	5.95371205314	32.3137120531	26.36	5.95371205314
262.845	3.313	3.31	28.29	42.44	30	42	12	8	0	0.001406497	27.1446345866	40.0727853974	67.217419984	12.9281508108	40.0727853974	27.1446345866	12.9281508108
274.886	1.501	1.501	18.98	19.17	30	42	12	8	0	0.001406497	18.2115646679	18.1007374191	36.312302087	0.110827248747	18.1007374191	18.2115646679	0.110827248747
286.928	2.291	2.291	12.63	17.05	14	30	16	8	0	0.001406497	12.3861057126	16.3597037717	28.7458094844	3.9735980591	16.3597037717	12.3861057126	3.9735980591
298.952	3.117	3.115	21.44	22.08	0	30	30	7	0	0.001406497	21.44	21.1860562627	42.6260562627	0.253943737261	21.44	21.1860562627	0.253943737261
310.994	3.899	3.897	18.63	19.19	14	30	16	7	0	0.001406497	18.2702414431	18.4130624856	36.6833039287	0.142821042502	18.2702414431	18.4130624856	0.142821042502
323.035	1.831	1.831	16.57	20.71	30	42	12	8	0	0.001406497	15.8991373312	19.554839434	35.4539767653	3.65570210279	19.554839434	15.8991373312	3.65570210279
335.076	3.113	3.11	9.56	9.66	14	30	16	8	0	0.001406497	9.37538959721	9.26889961495	18.6442892122	0.10648998226	9.26889961495	9.37538959721	0.10648998226
347.117	2.349	2.349	14.16	16.28	0	30	30	8	0	0.001406497	14.16	15.6208784401	29.7808784401	1.4608784401	15.6208784401	14.16	1.4608784401
359.175	2.699	2.699	26.05	26.83	0	14	14	7	0	0.001406497	26.05	26.3118936081	52.3618936081	0.261893608063	26.05	26.3118936081	0.261893608063
371.217	2.497	2.497	23.07	24.22	30	42	12	8	0	0.001406497	22.1359745463	22.8690589615	45.0050335077	0.733084415212	22.8690589615	22.1359745463	0.733084415212
383.258	1.551	1.551	12.3	15.38	14	30	16	8	0	0.001406497	12.0624782475	14.7573163642	26.8197946116	2.69483811672	14.7573163642	12.0624782475	2.69483811672
395.316	1.965	1.965	29.87	32.86	14	42	28	8	0	0.001406497	29.2931890448	31.0271377983	60.3203268431	1.73394875343	31.0271377983	29.2931890448	1.73394875343
407.374	1.683	1.683	11.75	12.34	14	42	28	8	0	0.001406497	11.5230991388	11.6517005609	23.1747996997	0.128601422054	11.6517005609	11.5230991388	0.128601422054
419.415	1.948	1.946	22.36	24.6	14	30	16	8	0	0.001406497	21.9282124889	23.6040300753	45.5322425642	1.67581758647	23.6040300753	21.9282124889	1.67581758647
431.456	2.057	2.056	21.25	31.88	14	30	16	8	0	0.001406497	20.8396473787	30.5892877562	51.4289351349	9.74964037743	30.5892877562	20.8396473787	9.74964037743
443.514	4.062	4.062	21.59	21.81	0	30	30	7	0	0.001406497	21.59	20.92698764	42.51698764	0.663012360039	21.59	20.92698764	0.663012360039
455.556	5.252	5.253	6.3	6.62	14	30	16	8	0	0.001406497	6.17834251699	6.35197882515	12.5303213421	0.173636308162	6.35197882515	6.17834251699	0.173636308162
