onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.037	2.739	2.739	8.47	8.47	14	30	16	7	0	0.014693614	7.02490301412	5.87864415728	12.9035471714	1.14625885684	7.02490301412	5.87864415728	1.14625885684
22.078	1.996	1.993	0.16	22.77	0	30	30	8	0	0.014693614	0.16	15.8036277995	15.9636277995	15.6436277995	15.8036277995	0.16	15.6436277995
34.119	1.776	1.776	15.77	18.14	30	42	12	8	0	0.014693614	10.9452441984	11.2173912693	22.1626354677	0.272147070896	11.2173912693	10.9452441984	0.272147070896
46.161	1.478	1.479	23.27	25.6	14	42	28	8	0	0.014693614	19.2998220943	15.8304970504	35.1303191447	3.46932504392	15.8304970504	19.2998220943	3.46932504392
58.202	2.381	2.381	14.71	15.45	30	42	12	8	0	0.014693614	10.2095461102	9.55395232142	19.7634984316	0.655593788815	9.55395232142	10.2095461102	0.655593788815
70.243	1.462	1.459	16.01	20.01	30	42	12	8	0	0.014693614	11.1118173504	12.3737596085	23.4855769589	1.26194225809	12.3737596085	11.1118173504	1.26194225809
82.284	1.762	1.762	6.62	6.95	0	14	14	8	0	0.014693614	6.62	5.76423564913	12.3842356491	0.855764350867	5.76423564913	6.62	0.855764350867
94.342	1.384	1.384	13.1	14.41	0	14	14	8	0	0.014693614	13.1	11.9514583747	25.0514583747	1.14854162532	11.9514583747	13.1	1.14854162532
106.386	1.532	1.535	29.82	44.73	14	30	16	8	0	0.014693614	24.7323031737	31.0450712108	55.7773743845	6.3127680371	31.0450712108	24.7323031737	6.3127680371
118.424	1.749	1.749	13.35	13.75	0	14	14	7	0	0.014693614	13.35	11.4040633346	24.7540633346	1.94593666539	13.35	11.4040633346	1.94593666539
130.482	2.339	2.339	11.51	11.86	30	42	12	8	0	0.014693614	7.98857074975	7.33397246162	15.3225432114	0.654598288128	7.33397246162	7.98857074975	0.654598288128
142.54	1.673	1.673	23.17	26.65	14	42	28	8	0	0.014693614	19.2168834519	16.479794781	35.6966782328	2.7370886709	16.479794781	19.2168834519	2.7370886709
154.566	2.041	2.038	24.23	24.47	14	42	28	7	0	0.014693614	20.0960330617	15.1317290165	35.2277620782	4.96430404514	20.0960330617	15.1317290165	4.96430404514
166.606	1.782	1.782	25.91	27.21	14	30	16	7	0	0.014693614	21.4894022545	18.8852311121	40.3746333667	2.60417114241	21.4894022545	18.8852311121	2.60417114241
178.664	1.468	1.468	20.24	21.25	0	30	30	7	0	0.014693614	20.24	14.7486645032	34.9886645032	5.49133549678	20.24	14.7486645032	5.49133549678
190.705	1.419	1.418	15.6	15.76	0	30	30	7	0	0.014693614	15.6	10.9383036504	26.5383036504	4.66169634961	15.6	10.9383036504	4.66169634961
202.746	1.676	1.673	20.23	30.34	0	14	14	8	0	0.014693614	20.23	25.1635841143	45.3935841143	4.93358411434	25.1635841143	20.23	4.93358411434
214.772	2.487	2.487	12.6	18.9	30	42	12	8	0	0.014693614	8.74509048191	11.6873591505	20.4324496324	2.94226866856	11.6873591505	8.74509048191	2.94226866856
226.828	2.039	2.039	23.14	23.37	0	14	14	7	0	0.014693614	23.14	19.3827607367	42.5227607367	3.75723926328	23.14	19.3827607367	3.75723926328
238.87	2.599	2.597	21.24	23.36	14	30	16	7	0	0.014693614	17.6161676529	16.2131201315	33.8292877844	1.40304752134	17.6161676529	16.2131201315	1.40304752134
250.911	2.582	2.579	15.54	20.98	14	42	28	7	0	0.014693614	12.8886650342	12.9735870358	25.86225207	0.0849220016389	12.8886650342	12.9735870358	0.0849220016389
262.952	2.418	2.418	26.11	26.37	14	30	16	7	0	0.014693614	21.6552795394	18.30222508	39.9575046194	3.3530544594	21.6552795394	18.30222508	3.3530544594
274.993	1.667	1.665	23.05	31.12	0	14	14	8	0	0.014693614	23.05	25.8105055253	48.8605055253	2.76050552532	25.8105055253	23.05	2.76050552532
287.034	1.871	1.871	11.62	13.36	0	14	14	7	0	0.014693614	11.62	11.0806026291	22.7006026291	0.539397370876	11.62	11.0806026291	0.539397370876
299.092	1.597	1.597	7.56	7.79	0	30	30	7	0	0.014693614	7.56	5.40668689318	12.9666868932	2.15331310682	7.56	5.40668689318	2.15331310682
311.133	2.148	2.148	15.21	19.01	0	14	14	7	0	0.014693614	15.21	15.7666359266	30.9766359266	0.55663592662	15.21	15.7666359266	0.55663592662
323.175	2.684	2.682	12.56	14.44	14	30	16	8	0	0.014693614	10.4170934897	10.0221513142	20.4392448038	0.394942175465	10.0221513142	10.4170934897	0.394942175465
335.216	2.264	2.264	13.04	16.3	0	30	30	7	0	0.014693614	13.04	11.3130932425	24.3530932425	1.72690675753	13.04	11.3130932425	1.72690675753
347.274	2.11	2.111	21.64	32.46	14	42	28	8	0	0.014693614	17.9479222226	20.0725755568	38.0204977795	2.12465333422	20.0725755568	17.9479222226	2.12465333422
359.298	2.456	2.454	23.19	25.51	0	30	30	7	0	0.014693614	23.19	17.7053379519	40.8953379519	5.48466204813	23.19	17.7053379519	5.48466204813
371.339	2.447	2.444	17.44	23.54	0	30	30	7	0	0.014693614	17.44	16.3380499956	33.7780499956	1.10195000443	17.44	16.3380499956	1.10195000443
383.38	2.731	2.731	17.23	23.26	14	30	16	7	0	0.014693614	14.2903280913	16.1437146515	30.4340427428	1.85338656023	14.2903280913	16.1437146515	1.85338656023
395.438	1.385	1.385	22.28	30.08	30	42	12	8	0	0.014693614	15.4635409474	18.6008340342	34.0643749816	3.13729308681	18.6008340342	15.4635409474	3.13729308681
407.479	1.578	1.575	6.4	8.0	14	30	16	7	0	0.014693614	5.30807311575	5.55243840121	10.860511517	0.244365285466	5.30807311575	5.55243840121	0.244365285466
419.521	1.533	1.534	21.45	22.09	14	30	16	7	0	0.014693614	17.790338802	15.3316705354	33.1220093374	2.45866826665	17.790338802	15.3316705354	2.45866826665
431.578	1.7	1.7	11.5	12.65	30	42	12	7	0	0.014693614	7.98163020174	7.82249170653	15.8041219083	0.159138495212	7.98163020174	7.82249170653	0.159138495212
443.62	2.762	2.763	23.61	23.85	30	42	12	7	0	0.014693614	16.3866338316	14.7483341661	31.1349679977	1.63829966551	16.3866338316	14.7483341661	1.63829966551
455.661	2.475	2.472	5.77	7.21	14	42	28	7	0	0.014693614	4.78555966842	4.45851108333	9.24407075174	0.327048585088	4.78555966842	4.45851108333	0.327048585088
467.702	1.919	1.919	8.97	10.32	0	30	30	7	0	0.014693614	8.97	7.16264553757	16.1326455376	1.80735446243	8.97	7.16264553757	1.80735446243
479.76	3.453	3.453	14.77	15.21	14	42	28	7	0	0.014693614	12.2500374874	9.40554141157	21.655578899	2.84449607587	12.2500374874	9.40554141157	2.84449607587
491.801	2.614	2.611	17.11	25.66	0	30	30	8	0	0.014693614	17.11	17.8094461719	34.9194461719	0.699446171893	17.8094461719	17.11	0.699446171893
503.842	2.717	2.714	21.37	22.44	14	42	28	7	0	0.014693614	17.7239878881	13.8764200707	31.6004079588	3.84756781733	17.7239878881	13.8764200707	3.84756781733
