onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.029	2.434	2.434	8.28	8.28	14	30	16	7	0	0.006070243	7.63145314918	7.00444034991	14.6358934991	0.627012799268	7.63145314918	7.00444034991	0.627012799268
22.07	2.844	2.841	0.03	5.65	0	30	30	8	0	0.006070243	0.03	4.77959999722	4.80959999722	4.74959999722	4.77959999722	0.03	4.74959999722
34.095	2.682	2.68	18.38	18.93	14	42	28	7	0	0.006070243	16.9403513142	15.0842638293	32.0246151436	1.85608748489	16.9403513142	15.0842638293	1.85608748489
46.136	2.335	2.334	28.87	33.2	14	30	16	7	0	0.006070243	26.6087019827	28.0854371518	54.6941391345	1.47673516911	26.6087019827	28.0854371518	1.47673516911
58.194	1.788	1.789	20.8	21.84	0	30	30	7	0	0.006070243	20.8	18.4754803432	39.2754803432	2.32451965676	20.8	18.4754803432	2.32451965676
70.235	2.158	2.155	5.55	6.1	14	42	28	8	0	0.006070243	5.11528562536	4.86075062647	9.97603625182	0.254534998888	4.86075062647	5.11528562536	0.254534998888
82.276	2.034	2.033	9.5	9.78	14	30	16	7	0	0.006070243	8.75589431367	8.27336070316	17.0292550168	0.482533610516	8.75589431367	8.27336070316	0.482533610516
94.334	1.959	1.959	14.66	16.86	0	14	14	8	0	0.006070243	14.66	15.5394082241	30.1994082241	0.879408224053	15.5394082241	14.66	0.879408224053
106.358	1.074	1.071	11.32	11.66	0	30	30	7	0	0.006070243	11.32	9.86374087922	21.1837408792	1.45625912078	11.32	9.86374087922	1.45625912078
118.4	1.901	1.902	14.5	15.22	30	42	12	8	0	0.006070243	12.2662300814	12.1279712352	24.3942013166	0.138258846147	12.1279712352	12.2662300814	0.138258846147
130.457	2.068	2.067	12.69	12.82	30	42	12	7	0	0.006070243	10.7350661885	10.2155447592	20.9506109477	0.519521429219	10.7350661885	10.2155447592	0.519521429219
142.499	3.001	3.002	9.06	12.23	14	42	28	7	0	0.006070243	8.35035815599	9.74540658388	18.0957647399	1.3950484279	8.35035815599	9.74540658388	1.3950484279
154.54	1.616	1.616	6.55	7.2	0	30	30	7	0	0.006070243	6.55	6.09081769557	12.6408176956	0.459182304425	6.55	6.09081769557	0.459182304425
166.598	1.558	1.557	19.32	28.98	14	42	28	8	0	0.006070243	17.8067240148	23.0925496975	40.8992737123	5.28582568279	23.0925496975	17.8067240148	5.28582568279
178.623	1.988	1.989	10.54	14.23	14	30	16	7	0	0.006070243	9.71443432275	12.0378244178	21.7522587405	2.32339009503	9.71443432275	12.0378244178	2.32339009503
190.663	2.039	2.036	28.53	28.82	14	30	16	7	0	0.006070243	26.2953331336	24.3801897203	50.6755228539	1.91514341324	26.2953331336	24.3801897203	1.91514341324
202.705	1.754	1.755	12.62	17.04	30	42	12	8	0	0.006070243	10.6758499053	13.5782279795	24.2540778848	2.90237807421	13.5782279795	10.6758499053	2.90237807421
214.762	1.713	1.712	15.12	16.63	14	30	16	8	0	0.006070243	13.935697055	14.068096983	28.003794038	0.132399927951	14.068096983	13.935697055	0.132399927951
226.804	2.118	2.118	25.4	25.65	0	14	14	7	0	0.006070243	25.4	23.6409146469	49.0409146469	1.75908535309	25.4	23.6409146469	1.75908535309
238.845	1.456	1.453	21.54	21.76	0	30	30	7	0	0.006070243	21.54	18.4078045911	39.9478045911	3.13219540893	21.54	18.4078045911	3.13219540893
250.886	2.084	2.083	22.67	28.34	30	42	12	8	0	0.006070243	19.177616272	22.5825693039	41.760185576	3.40495303191	22.5825693039	19.177616272	3.40495303191
262.944	1.529	1.529	23.13	34.7	30	42	12	8	0	0.006070243	19.566751847	27.6504994653	47.2172513123	8.08374761828	27.6504994653	19.566751847	8.08374761828
274.985	1.275	1.272	19.39	24.24	0	30	30	8	0	0.006070243	19.39	20.5057529084	39.8957529084	1.11575290844	20.5057529084	19.39	1.11575290844
287.011	1.286	1.286	18.56	27.84	14	30	16	8	0	0.006070243	17.1062524697	23.5511617562	40.6574142259	6.44490928657	23.5511617562	17.1062524697	6.44490928657
299.067	2.55	2.549	14.33	14.47	14	42	28	7	0	0.006070243	13.2075753174	11.5303379615	24.7379132788	1.67723735589	13.2075753174	11.5303379615	1.67723735589
311.125	2.787	2.787	7.23	8.31	30	42	12	7	0	0.006070243	6.11619610264	6.62177667311	12.7379727757	0.505580570466	6.11619610264	6.62177667311	0.505580570466
323.167	1.612	1.61	15.14	18.92	14	30	16	8	0	0.006070243	13.9541305167	16.0053153889	29.9594459057	2.05118487219	16.0053153889	13.9541305167	2.05118487219
