	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
1	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
2	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
3	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
4	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
5	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
6	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
7	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
8	-0.167283	-0.652392	2.803179	0.007076	-0.002462	-0.000169	0.18361200000001077	0.6466920000000158	2.632569	2.7101784044032966	2.278708744306907
9	-0.288842	-0.618362	2.900471	0.006982	-0.004882	-0.000361	0.32300600000000657	0.6037160000000057	2.593999	2.6711097965158603	2.2227029754193453
10	0.400333	-1.112195	2.52735	0.006561	-0.003151	-0.003913	0.42298999999999864	0.9773559999999932	2.290648	2.4815448336425443	2.075931957515951
11	0.003179	-0.727791	2.682398	0.007511	-0.00377	-0.00114	0.1350230000000039	0.6744939999999957	2.357921000000001	2.4335615734725096	2.0510958981425116
12	-1.058514	0.169624	2.917631	0.006572	-0.006675	0.004324	0.9671570000000003	0.2684289999999976	2.4792389999999997	2.62915674929035	2.1953429568046987
13	-0.511771	-0.141918	2.247845	0.006197	-0.003309	0.001807	0.4715240000000094	0.3187740000000048	1.9687289999999997	2.035374913713441	1.7025607553006694
14	-0.408552	-0.356483	2.350958	0.005918	-0.004951	0.000769	0.3875539999999944	0.42965299999998763	1.9917890000000007	2.046034867031108	1.7200676094205718
15	-0.2169	-0.338333	1.882733	0.003434	-0.004516	-0.000375	0.2538889999999938	0.3204560000000072	1.6159429999999997	1.6566489743002282	1.4129730699657475
16	-0.837177	0.343932	1.636326	0.003486	-0.003536	0.004158	0.7478899999999982	0.3246900000000039	1.4042960000000004	1.579895740635121	1.315223667881622
17	0.032834	-0.134957	0.931126	0.004035	0.000743	0.001203	0.16602199999999812	0.24796999999999514	0.9147880000000015	0.9347103235596574	0.7571058471259218
18	0.388993	-0.577295	0.866986	0.002851	-0.000659	-0.002464	0.36274099999999976	0.49004500000000917	0.7827660000000001	0.9590021634000625	0.7893096242017383
19	-0.312957	0.195899	0.660114	0.002461	-5.8e-05	0.002484	0.2731820000000056	0.19728800000000035	0.6173560000000009	0.6798972494531791	0.545855106861968
20	0.463808	-0.165847	-0.218971	-0.000352	0.002481	-0.001416	0.4303019999999975	0.13331099999999907	0.12889299999999793	0.4451116988869172	0.34140884216558626
21	0.456911	-0.1939	-0.312743	-0.002479	-0.000229	-0.002566	0.4179199999999952	0.19386199999999576	0.285381000000001	0.512109463694038	0.37140081266874847
22	-0.088671	0.566514	-1.04806	-0.004949	0.001209	0.001132	0.10668700000000797	0.5137169999999927	0.890661999999999	1.0096596617974793	0.7809372409123371
23	-0.120192	0.572103	-1.293145	-0.006992	8.4e-05	0.000108	0.12068400000000423	0.5638329999999954	1.1697570000000006	1.2791789512597507	0.9745705432773957
24	-0.384491	0.591552	-0.875016	-0.00543	-0.001961	0.001038	0.35983199999999727	0.5407679999999999	0.925574000000001	1.096419514352509	0.8432176248401128
25	-0.682804	1.213495	-1.606759	-0.008457	-0.000685	0.00362	0.6148830000000061	1.0649449999999945	1.5145250000000026	1.8774269031762596	1.4736941084186854
26	-0.183888	0.83604	-1.893628	-0.011608	-0.002521	-0.000296	0.21383199999999647	0.8554829999999924	1.8773070000000018	2.0334096000456983	1.5075028726788404
27	-0.05099	1.191164	-2.94153	-0.01427	0.001285	0.000918	0.07840300000000866	1.129213	2.633434000000001	2.8096054542264475	2.1758276697038887
28	2.124017	0.046708	-5.226145	-0.020159	0.008407	-0.00999	1.9120570000000043	0.9520109999999988	4.410599999999999	4.790836683071235	3.7457819648275072
29	1.831415	1.0365	-6.786648	-0.030544	0.007012	-0.008346	1.6491270000000071	1.7538139999999913	5.871033000000001	6.1970186989862315	4.760397078885441
30	-0.93851	3.500798	-6.612661	-0.031958	0.004425	0.007789	0.9257890000000089	3.122335999999997	5.852510999999999	6.534843927138657	5.0360448775090045
31	-0.407801	4.54014	-9.943174	-0.048601	0.008925	0.006351	0.6073399999999936	4.1428670000000025	8.658392000000001	9.467210143088671	7.18749232323896
