onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.036	2.196	2.196	12.09	12.09	30	42	12	7	0	0.003512609	10.9374323054	10.5356761445	21.4731084499	0.401756160951	10.9374323054	10.5356761445	0.401756160951
22.094	1.618	1.618	0.08	15.14	0	30	30	8	0	0.003512609	0.08	13.6966687431	13.7766687431	13.6166687431	13.6966687431	0.08	13.6166687431
34.136	3.083	3.08	12.27	13.5	30	42	12	7	0	0.003512609	11.1002724886	11.7644026427	22.8646751313	0.66413015408	11.1002724886	11.7644026427	0.66413015408
46.177	1.679	1.679	5.56	7.51	0	30	30	8	0	0.003512609	5.56	6.79405431048	12.3540543105	1.23405431048	6.79405431048	5.56	1.23405431048
58.235	2.565	2.564	27.59	27.87	14	42	28	7	0	0.003512609	26.2968140406	24.2869556779	50.5837697185	2.00985836268	26.2968140406	24.2869556779	2.00985836268
70.293	3.106	3.106	17.68	18.56	14	42	28	7	0	0.003512609	16.8513110634	16.1738750406	33.025186104	0.677436022728	16.8513110634	16.1738750406	0.677436022728
82.334	3.764	3.761	8.35	8.77	30	42	12	7	0	0.003512609	7.55397516544	7.64250453159	15.196479697	0.0885293661486	7.55397516544	7.64250453159	0.0885293661486
94.376	4.01	4.008	28.78	29.07	0	14	14	7	0	0.003512609	28.78	27.7074441523	56.4874441523	1.07255584775	28.78	27.7074441523	1.07255584775
106.401	3.982	3.982	14.5	14.94	14	42	28	7	0	0.003512609	13.8203625802	13.0192722579	26.8396348382	0.801090322322	13.8203625802	13.0192722579	0.801090322322
118.458	3.957	3.956	23.67	26.04	14	42	28	7	0	0.003512609	22.5605505017	22.6922255419	45.2527760436	0.13167504024	22.5605505017	22.6922255419	0.13167504024
130.499	5.142	5.139	14.75	16.96	14	30	16	8	0	0.003512609	14.0586446937	15.3431639289	29.4018086225	1.28451923516	15.3431639289	14.0586446937	1.28451923516
142.541	8.756	8.753	11.24	12.93	30	42	12	8	0	0.003512609	10.1684647736	11.26768342	21.4361481936	1.09921864641	11.26768342	10.1684647736	1.09921864641
154.599	2.359	2.359	14.09	21.14	0	30	30	8	0	0.003512609	14.09	19.12467485	33.21467485	5.03467485	19.12467485	14.09	5.03467485
166.623	3.65	3.647	27.31	30.04	14	30	16	8	0	0.003512609	26.0299380735	27.1762172419	53.2061553155	1.14627916836	27.1762172419	26.0299380735	1.14627916836
