onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.03	2.441	2.441	6.68	6.68	14	42	28	7	0	0.002904893	6.41895088317	5.95362497267	12.3725758558	0.465325910495	6.41895088317	5.95362497267	0.465325910495
22.055	2.115	2.112	0.09	10.41	0	30	30	8	0	0.002904893	0.09	9.57552383519	9.66552383519	9.48552383519	9.57552383519	0.09	9.48552383519
34.096	3.193	3.191	22.92	28.65	0	30	30	8	0	0.002904893	22.92	26.3533869239	49.2733869239	3.43338692395	26.3533869239	22.92	3.43338692395
46.121	2.438	2.431	20.27	30.4	0	30	30	8	0	0.002904893	20.27	27.9631051479	48.2331051479	7.69310514793	27.9631051479	20.27	7.69310514793
58.178	2.34	2.34	7.42	7.64	0	30	30	7	0	0.002904893	7.42	7.02756984639	14.4475698464	0.392430153613	7.42	7.02756984639	0.392430153613
70.204	1.909	1.901	19.52	19.72	30	42	12	7	0	0.002904893	17.9552569897	17.5756713265	35.5309283162	0.379585663202	17.9552569897	17.5756713265	0.379585663202
82.228	3.516	3.514	22.58	24.84	0	30	30	8	0	0.002904893	22.58	22.8488003906	45.4288003906	0.268800390608	22.8488003906	22.58	0.268800390608
94.269	2.56	2.561	5.67	5.84	14	42	28	7	0	0.002904893	5.44842088437	5.20496554497	10.6533864293	0.243455339394	5.44842088437	5.20496554497	0.243455339394
106.293	2.315	2.312	27.74	28.02	14	42	28	7	0	0.002904893	26.6559427394	24.9731394812	51.6290822206	1.6828032582	26.6559427394	24.9731394812	1.6828032582
118.334	2.353	2.351	22.65	28.31	0	14	14	8	0	0.002904893	22.65	27.2036675902	49.8536675902	4.5536675902	27.2036675902	22.65	4.5536675902
130.375	2.094	2.093	26.29	35.49	0	14	14	8	0	0.002904893	26.29	34.1030788688	60.3930788688	7.81307886882	34.1030788688	26.29	7.81307886882
142.4	2.708	2.1	19.55	20.14	0	14	14	7	0	0.002904893	19.55	19.3529447286	38.9029447286	0.197055271401	19.55	19.3529447286	0.197055271401
154.425	3.054	3.052	15.42	17.73	0	30	30	8	0	0.002904893	15.42	16.3087452063	31.7287452063	0.88874520634	16.3087452063	15.42	0.88874520634
166.466	1.882	1.001	24.34	30.42	30	42	12	8	0	0.002904893	22.388880898	27.1121664175	49.5010473155	4.72328551944	27.1121664175	22.388880898	4.72328551944
178.524	2.759	2.16	9.52	10.0	0	30	30	7	0	0.002904893	9.52	9.19838985129	18.7183898513	0.321610148709	9.52	9.19838985129	0.321610148709
190.548	2.658	2.655	6.42	6.74	30	42	12	7	0	0.002904893	5.90536628453	6.00710064608	11.9124669306	0.101734361553	5.90536628453	6.00710064608	0.101734361553
202.589	1.734	1.134	20.13	27.18	14	30	16	8	0	0.002904893	19.3433355207	25.0012236158	44.3445591365	5.65788809512	25.0012236158	19.3433355207	5.65788809512
214.647	1.9	1.099	19.35	22.25	14	30	16	8	0	0.002904893	18.5938173038	20.4664174191	39.0602347229	1.87260011533	20.4664174191	18.5938173038	1.87260011533
226.688	2.73	2.13	13.11	14.42	14	30	16	8	0	0.002904893	12.5976715686	13.2640781656	25.8617497342	0.666406596946	13.2640781656	12.5976715686	0.666406596946
238.73	3.251	3.249	15.39	15.85	14	30	16	8	0	0.002904893	14.7885709719	14.5794479143	29.3680188862	0.209123057557	14.5794479143	14.7885709719	0.209123057557
250.771	2.711	2.11	9.01	9.46	14	42	28	7	0	0.002904893	8.65789632595	8.43133117388	17.0892274998	0.226565152075	8.65789632595	8.43133117388	0.226565152075
262.812	3.389	3.309	22.22	23.33	0	14	14	7	0	0.002904893	22.22	22.4182820515	44.6382820515	0.19828205155	22.22	22.4182820515	0.19828205155
274.853	3.143	3.14	6.62	7.28	30	42	12	8	0	0.002904893	6.08933408155	6.48838170675	12.5777157883	0.399047625192	6.48838170675	6.08933408155	0.399047625192
286.879	3.186	3.101	7.23	8.31	30	42	12	8	0	0.002904893	6.65043586248	7.40638076691	14.0568166294	0.755944904421	7.40638076691	6.65043586248	0.755944904421
298.936	3.817	3.011	13.16	13.55	30	42	12	8	0	0.002904893	12.1050810443	12.0765895778	24.1816706221	0.0284914664939	12.0765895778	12.1050810443	0.0284914664939
310.993	3.13	3.121	12.46	12.58	14	30	16	7	0	0.002904893	11.9730730545	11.5715744329	23.5446474875	0.401498621611	11.9730730545	11.5715744329	0.401498621611
323.035	1.917	1.911	23.78	26.16	14	42	28	8	0	0.002904893	22.8506964075	23.3153936056	46.166090013	0.464697198112	23.3153936056	22.8506964075	0.464697198112
335.093	1.883	1.004	12.35	15.44	14	42	28	8	0	0.002904893	11.8673717675	13.7610732901	25.6284450577	1.8937015226	13.7610732901	11.8673717675	1.8937015226
347.134	1.433	1.433	16.04	20.05	14	30	16	8	0	0.002904893	15.4131694859	18.4427716518	33.8559411378	3.0296021659	18.4427716518	15.4131694859	3.0296021659
359.175	3.347	3.344	21.99	25.29	14	42	28	8	0	0.002904893	21.1306481918	22.5399963412	43.6706445329	1.40934814941	22.5399963412	21.1306481918	1.40934814941
371.216	4.169	4.161	25.4	25.65	0	14	14	7	0	0.002904893	25.4	24.6476182864	50.0476182864	0.752381713577	25.4	24.6476182864	0.752381713577
383.257	4.726	4.125	14.78	22.17	14	30	16	8	0	0.002904893	14.2024092894	20.3928303003	34.5952395897	6.1904210109	20.3928303003	14.2024092894	6.1904210109
395.299	1.342	1.34	14.68	16.88	0	14	14	8	0	0.002904893	14.68	16.2203429503	30.9003429503	1.54034295029	16.2203429503	14.68	1.54034295029
407.323	2.131	2.131	10.02	11.02	0	14	14	8	0	0.002904893	10.02	10.5893471156	20.6093471156	0.569347115649	10.5893471156	10.02	0.569347115649
419.381	1.249	1.24	24.28	36.42	14	42	28	8	0	0.002904893	23.3311568029	32.4597337582	55.7908905611	9.12857695531	32.4597337582	23.3311568029	9.12857695531
431.422	1.498	1.495	8.42	11.37	30	42	12	8	0	0.002904893	7.74504425479	10.1336401107	17.8786843655	2.38859585589	10.1336401107	7.74504425479	2.38859585589
443.463	2.03	2.03	8.03	10.84	0	30	30	8	0	0.002904893	8.03	9.9710545988	18.0010545988	1.9410545988	9.9710545988	8.03	1.9410545988
455.505	2.06	2.061	24.69	25.92	14	30	16	8	0	0.002904893	23.7251343272	23.8422264945	47.5673608217	0.117092167382	23.8422264945	23.7251343272	0.117092167382
467.546	2.187	2.106	26.13	26.39	0	30	30	7	0	0.002904893	26.13	24.2745508176	50.4045508176	1.85544918244	26.13	24.2745508176	1.85544918244
479.587	1.86	1.051	19.52	29.28	0	14	14	8	0	0.002904893	19.52	28.1357607574	47.6557607574	8.61576075737	28.1357607574	19.52	8.61576075737
491.612	2.792	2.192	13.44	18.14	14	42	28	8	0	0.002904893	12.9147754296	16.1674785935	29.0822540231	3.25270316385	16.1674785935	12.9147754296	3.25270316385
503.653	2.431	2.431	11.74	17.61	30	42	12	8	0	0.002904893	10.7989096854	15.695110145	26.4940198304	4.89620045961	15.695110145	10.7989096854	4.89620045961
