onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.041	2.09	2.087	13.15	13.15	14	42	28	7	0	0.00876822	11.7122605226	9.61070968959	21.3229702122	2.10155083298	11.7122605226	9.61070968959	2.10155083298
22.083	2.415	2.413	0.03	5.57	14	42	28	8	0	0.00876822	0.0267199859831	4.07084813468	4.09756812066	4.0441281487	4.07084813468	0.0267199859831	4.0441281487
34.124	2.395	2.395	6.75	9.11	0	14	14	8	0	0.00876822	6.75	8.11396907685	14.8639690769	1.36396907685	8.11396907685	6.75	1.36396907685
46.182	2.105	2.105	12.06	12.66	14	30	16	7	0	0.00876822	10.7414343652	10.0233831436	20.7648175088	0.718051221604	10.7414343652	10.0233831436	0.718051221604
58.223	2.347	2.344	26.89	28.23	14	42	28	7	0	0.00876822	23.9500141028	20.6319646036	44.5819787064	3.31804949922	23.9500141028	20.6319646036	3.31804949922
70.264	1.671	1.671	21.36	21.57	0	30	30	7	0	0.00876822	21.36	17.0777546925	38.4377546925	4.2822453075	21.36	17.0777546925	4.2822453075
82.322	2.252	2.252	29.86	30.76	14	42	28	7	0	0.00876822	26.5952927151	22.4810212967	49.0763140118	4.11427141841	26.5952927151	22.4810212967	4.11427141841
94.364	1.49	1.491	9.88	9.98	14	30	16	7	0	0.00876822	8.79978205042	7.90152952393	16.7013115743	0.898252526488	8.79978205042	7.90152952393	0.898252526488
106.388	1.485	1.482	10.27	10.78	0	30	30	7	0	0.00876822	10.27	8.53491866413	18.8049186641	1.73508133587	10.27	8.53491866413	1.73508133587
118.43	2.856	2.856	16.52	22.3	14	30	16	8	0	0.00876822	14.7138056147	17.6557222829	32.3695278976	2.94191666826	17.6557222829	14.7138056147	2.94191666826
130.487	2.614	2.614	18.46	23.08	0	30	30	8	0	0.00876822	18.46	18.2732766946	36.7332766946	0.186723305379	18.2732766946	18.46	0.186723305379
142.529	3.372	3.372	21.06	24.22	30	42	12	8	0	0.00876822	16.6739691156	17.7012462876	34.3752154032	1.02727717197	17.7012462876	16.6739691156	1.02727717197
154.57	2.974	2.971	5.35	6.69	0	14	14	7	0	0.00876822	5.35	5.95855687422	11.3085568742	0.608556874221	5.35	5.95855687422	0.608556874221
166.611	2.074	2.073	5.2	5.25	0	14	14	7	0	0.00876822	5.2	4.67599754703	9.87599754703	0.524002452966	5.2	4.67599754703	0.524002452966
178.654	2.495	2.494	25.64	34.61	30	42	12	8	0	0.00876822	20.3001219432	25.294803221	45.5949251643	4.9946812778	25.294803221	20.3001219432	4.9946812778
190.694	1.537	1.534	15.01	15.16	14	42	28	7	0	0.00876822	13.3688996535	11.0797231098	24.4486227633	2.28917654369	13.3688996535	11.0797231098	2.28917654369
202.735	2.856	2.853	7.44	9.3	30	42	12	8	0	0.00876822	5.89051900381	6.79692776526	12.6874467691	0.906408761451	6.79692776526	5.89051900381	0.906408761451
214.776	1.78	1.78	20.39	30.58	14	42	28	8	0	0.00876822	18.1606838065	22.3494678561	40.5101516626	4.18878404962	22.3494678561	18.1606838065	4.18878404962
226.818	2.729	2.73	10.01	12.51	14	42	28	7	0	0.00876822	8.91556865634	9.14296412295	18.0585327793	0.227395466605	8.91556865634	9.14296412295	0.227395466605
238.859	1.747	1.744	10.83	11.91	14	30	16	7	0	0.00876822	9.64591493988	9.42958082465	19.0754957645	0.216334115231	9.64591493988	9.42958082465	0.216334115231
250.9	3.618	3.615	26.88	28.22	0	14	14	7	0	0.00876822	26.88	25.1346001481	52.0146001481	1.74539985194	26.88	25.1346001481	1.74539985194
262.941	3.59	3.589	6.26	7.2	14	42	28	7	0	0.00876822	5.57557040846	5.26213762472	10.8377080332	0.313432783744	5.57557040846	5.26213762472	0.313432783744
274.999	1.988	1.987	23.26	23.96	0	30	30	7	0	0.00876822	23.26	18.9700047488	42.2300047488	4.28999525116	23.26	18.9700047488	4.28999525116
287.041	3.036	3.033	8.77	10.09	0	30	30	7	0	0.00876822	8.77	7.98862053071	16.7586205307	0.781379469293	8.77	7.98862053071	0.781379469293
299.082	1.848	1.848	24.11	25.32	30	42	12	7	0	0.00876822	19.0887652126	18.5051839803	37.5939491929	0.583581232358	19.0887652126	18.5051839803	0.583581232358
311.14	2.078	2.078	10.17	10.27	30	42	12	7	0	0.00876822	8.05195944473	7.5058546397	15.5578140844	0.546104805023	8.05195944473	7.5058546397	0.546104805023
323.181	2.527	2.524	15.02	16.52	30	42	12	7	0	0.00876822	11.8918811072	12.0736824389	23.9655635461	0.181801331782	11.8918811072	12.0736824389	0.181801331782
335.206	3.134	3.131	10.37	11.41	0	14	14	7	0	0.00876822	10.37	10.1625013356	20.5325013356	0.207498664446	10.37	10.1625013356	0.207498664446
347.247	4.789	4.786	20.62	23.71	0	14	14	8	0	0.00876822	20.62	21.1176955886	41.7376955886	0.497695588605	21.1176955886	20.62	0.497695588605
359.288	2.833	2.833	6.83	10.24	0	30	30	8	0	0.00876822	6.83	8.10738099449	14.9373809945	1.27738099449	8.10738099449	6.83	1.27738099449
371.33	1.641	1.639	16.63	24.94	0	14	14	8	0	0.00876822	16.63	22.2132150139	38.8432150139	5.58321501391	22.2132150139	16.63	5.58321501391
383.371	1.469	1.469	12.53	16.92	14	42	28	8	0	0.00876822	11.1600474789	12.3660234181	23.526070897	1.20597593917	12.3660234181	11.1600474789	1.20597593917
395.429	2.235	2.235	14.96	18.7	14	30	16	8	0	0.00876822	13.3243663435	14.8054711521	28.1298374956	1.48110480851	14.8054711521	13.3243663435	1.48110480851
407.47	3.45	3.45	9.93	10.92	0	30	30	7	0	0.00876822	9.93	8.64576176366	18.5757617637	1.28423823634	9.93	8.64576176366	1.28423823634
419.511	2.027	2.024	17.83	24.07	0	30	30	8	0	0.00876822	17.83	19.0570957556	36.8870957556	1.22709575561	19.0570957556	17.83	1.22709575561
431.536	2.231	2.231	28.07	42.1	30	42	12	8	0	0.00876822	22.2240414566	30.7688880557	52.9929295122	8.54484659907	30.7688880557	22.2240414566	8.54484659907
443.594	1.989	1.989	25.32	26.08	0	14	14	7	0	0.00876822	25.32	23.2285744813	48.5485744813	2.09142551873	25.32	23.2285744813	2.09142551873
455.635	3.998	3.995	16.4	16.89	14	30	16	8	0	0.00876822	14.6069256707	13.3724282224	27.9793538931	1.23449744837	13.3724282224	14.6069256707	1.23449744837
467.676	2.605	2.602	14.05	15.46	14	42	28	7	0	0.00876822	12.5138601021	11.2989788442	23.8128389463	1.21488125787	12.5138601021	11.2989788442	1.21488125787
479.718	2.0	2.001	5.92	6.1	30	42	12	7	0	0.00876822	4.68707963744	4.45819993205	9.1452795695	0.228879705388	4.68707963744	4.45819993205	0.228879705388
491.759	4.055	4.055	8.39	9.65	14	30	16	7	0	0.00876822	7.47268941326	7.6402565036	15.1129459169	0.16756709034	7.47268941326	7.6402565036	0.16756709034
503.801	2.567	2.565	13.26	19.89	14	30	16	8	0	0.00876822	11.8102338045	15.7476374981	27.5578713026	3.93740369359	15.7476374981	11.8102338045	3.93740369359
