onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.038	1.594	1.594	8.81	8.81	0	30	30	7	0	0.009194534	8.81	6.90527611848	15.7152761185	1.90472388152	8.81	6.90527611848	1.90472388152
22.079	2.025	2.025	0.16	17.18	0	30	30	8	0	0.009194534	0.16	13.4656803309	13.6256803309	13.3056803309	13.4656803309	0.16	13.3056803309
34.104	2.562	2.559	23.27	23.97	14	30	16	7	0	0.009194534	20.6162098112	18.7876808808	39.403890692	1.82852893035	20.6162098112	18.7876808808	1.82852893035
46.145	2.167	2.166	15.28	16.04	0	14	14	7	0	0.009194534	15.28	14.2107436773	29.4907436773	1.06925632269	15.28	14.2107436773	1.06925632269
58.203	8.903	8.9	14.29	17.86	14	42	28	7	0	0.009194534	12.6603196477	12.8844185673	25.544738215	0.224098919645	12.6603196477	12.8844185673	0.224098919645
70.244	2.475	2.475	15.51	15.98	30	42	12	7	0	0.009194534	12.1567346876	11.5281639813	23.6848986689	0.628570706291	12.1567346876	11.5281639813	0.628570706291
82.269	2.564	2.561	15.07	17.33	0	30	30	7	0	0.009194534	15.07	13.5832502989	28.6532502989	1.48674970111	15.07	13.5832502989	1.48674970111
94.31	1.816	1.816	19.9	20.1	14	30	16	7	0	0.009194534	17.6305361084	15.7543757073	33.3849118157	1.87616040107	17.6305361084	15.7543757073	1.87616040107
106.368	2.614	2.614	21.86	22.08	14	42	28	7	0	0.009194534	19.3670110216	15.9287772658	35.2957882873	3.43823375581	19.3670110216	15.9287772658	3.43823375581
118.409	5.511	5.509	20.83	26.04	30	42	12	8	0	0.009194534	16.3265495514	18.7855688406	35.112118392	2.45901928919	18.7855688406	16.3265495514	2.45901928919
130.45	3.214	3.211	19.27	24.09	0	30	30	8	0	0.009194534	19.27	18.8817368552	38.1517368552	0.38826314482	18.8817368552	19.27	0.38826314482
142.492	2.665	2.665	15.92	21.49	14	42	28	8	0	0.009194534	14.1044288867	15.5031441776	29.6075730643	1.39871529089	15.5031441776	14.1044288867	1.39871529089
154.55	5.047	5.048	13.9	14.6	30	42	12	7	0	0.009194534	10.8948170314	10.5326154022	21.4274324336	0.362201629243	10.8948170314	10.5326154022	0.362201629243
166.608	2.975	2.974	22.68	24.95	0	14	14	7	0	0.009194534	22.68	22.1046168796	44.7846168796	0.575383120391	22.68	22.1046168796	0.575383120391
178.633	2.012	2.011	14.98	22.47	14	42	28	8	0	0.009194534	13.2716296936	16.2101279512	29.4817576448	2.93849825752	16.2101279512	13.2716296936	2.93849825752
190.69	2.474	2.474	7.41	8.52	0	14	14	7	0	0.009194534	7.41	7.54835013284	14.9583501328	0.138350132836	7.41	7.54835013284	0.138350132836
202.715	1.849	1.849	13.99	14.13	30	42	12	7	0	0.009194534	10.9653590122	10.1935517557	21.1589107679	0.771807256531	10.9653590122	10.1935517557	0.771807256531
