onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.029	2.982	2.979	10.52	10.52	0	30	30	7	0	0.008726792	10.52	8.33727108247	18.8572710825	2.18272891753	10.52	8.33727108247	2.18272891753
22.07	1.922	1.922	0.05	7.97	0	30	30	8	0	0.008726792	0.05	6.31635461286	6.36635461286	6.26635461286	6.31635461286	0.05	6.26635461286
34.128	3.528	3.528	8.21	10.26	30	42	12	8	0	0.008726792	6.50655851588	7.50809390085	14.0146524167	1.00153538497	7.50809390085	6.50655851588	1.00153538497
46.17	2.609	2.606	9.58	10.54	14	42	28	7	0	0.008726792	8.5369922238	7.71299314961	16.2499853734	0.823999074192	8.5369922238	7.71299314961	0.823999074192
58.211	3.229	3.229	19.51	22.44	0	30	30	7	0	0.008726792	19.51	17.7840649326	37.2940649326	1.72593506743	19.51	17.7840649326	1.72593506743
70.269	3.571	3.571	13.38	20.07	14	42	28	7	0	0.008726792	11.9232730641	14.6868854376	26.6101585018	2.76361237349	11.9232730641	14.6868854376	2.76361237349
82.327	2.243	2.24	7.04	7.39	0	30	30	7	0	0.008726792	7.04	5.85669518056	12.8966951806	1.18330481944	7.04	5.85669518056	1.18330481944
94.368	2.16	2.159	15.53	23.3	0	30	30	7	0	0.008726792	15.53	18.4656289184	33.9956289184	2.9356289184	15.53	18.4656289184	2.9356289184
106.41	3.493	3.493	7.84	10.58	0	30	30	7	0	0.008726792	7.84	8.38482205823	16.2248220582	0.544822058226	7.84	8.38482205823	0.544822058226
118.451	2.668	2.668	11.16	16.74	30	42	12	8	0	0.008726792	8.84448149053	12.2500479435	21.094529434	3.40556645297	12.2500479435	8.84448149053	3.40556645297
130.492	2.398	2.395	14.92	15.07	0	30	30	7	0	0.008726792	14.92	11.9432200773	26.8632200773	2.97677992274	14.92	11.9432200773	2.97677992274
142.534	2.897	2.897	28.89	29.18	0	14	14	7	0	0.008726792	28.89	26.0030723477	54.8930723477	2.88692765235	28.89	26.0030723477	2.88692765235
154.592	3.463	3.463	13.71	14.4	30	42	12	7	0	0.008726792	10.8653979601	10.5376756503	21.4030736105	0.327722309819	10.8653979601	10.5376756503	0.327722309819
166.65	2.639	2.636	11.83	13.01	30	42	12	7	0	0.008726792	9.37546738647	9.52049723685	18.8959646233	0.145029850386	9.37546738647	9.52049723685	0.145029850386
178.691	2.526	2.523	20.6	25.75	0	14	14	8	0	0.008726792	20.6	22.946508326	43.546508326	2.34650832598	22.946508326	20.6	2.34650832598
190.732	4.117	4.114	11.75	12.34	14	30	16	7	0	0.008726792	10.4707368089	9.77965068039	20.2503874893	0.691086128555	10.4707368089	9.77965068039	0.691086128555
202.774	3.064	3.065	28.51	31.36	0	30	30	8	0	0.008726792	28.51	24.8533099949	53.3633099949	3.65669000511	24.8533099949	28.51	3.65669000511
214.815	3.45	3.447	22.2	25.53	14	30	16	8	0	0.008726792	19.7830091199	20.232940184	40.0159493039	0.449931064105	20.232940184	19.7830091199	0.449931064105
226.856	2.134	2.134	17.94	20.63	0	14	14	8	0	0.008726792	17.94	18.3839404569	36.3239404569	0.443940456892	18.3839404569	17.94	0.443940456892
238.914	1.732	1.732	20.99	21.62	0	30	30	8	0	0.008726792	20.99	17.1342015972	38.1242015972	3.85579840276	17.1342015972	20.99	3.85579840276
250.956	3.642	3.642	13.51	16.89	14	42	28	7	0	0.008726792	12.0391195139	12.3598153982	24.3989349121	0.320695884246	12.0391195139	12.3598153982	0.320695884246
262.98	4.052	4.049	5.19	7.01	14	42	28	7	0	0.008726792	4.62494672667	5.12979904922	9.75474577589	0.504852322545	4.62494672667	5.12979904922	0.504852322545
275.021	2.28	2.28	20.86	26.08	14	30	16	8	0	0.008726792	18.5888995604	20.6688241284	39.2577236888	2.07992456802	20.6688241284	18.5888995604	2.07992456802
287.079	2.166	2.166	8.55	8.64	14	42	28	7	0	0.008726792	7.61913189076	6.32260539019	13.941737281	1.29652650057	7.61913189076	6.32260539019	1.29652650057
299.121	2.119	2.116	13.44	13.57	14	30	16	7	0	0.008726792	11.9767406564	10.7544456834	22.7311863397	1.22229497298	11.9767406564	10.7544456834	1.22229497298
311.162	3.31	3.307	9.06	9.33	14	42	28	7	0	0.008726792	8.0736064246	6.82753568177	14.9011421064	1.24607074283	8.0736064246	6.82753568177	1.24607074283
323.188	3.785	3.785	25.88	27.17	0	14	14	8	0	0.008726792	25.88	24.2119080084	50.0919080084	1.66809199158	24.2119080084	25.88	1.66809199158
