onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.036	3.543	3.54	6.2	6.2	14	30	16	7	0	0.002965438	5.95286026736	5.69348931315	11.6463495805	0.259370954217	5.95286026736	5.69348931315	0.259370954217
22.077	3.157	3.154	0.16	27.96	14	30	16	8	0	0.002965438	0.153622200448	25.6758001928	25.8294223933	25.5221779924	25.6758001928	0.153622200448	25.5221779924
34.119	2.025	2.024	21.88	29.54	14	42	28	8	0	0.002965438	21.0078359113	26.2683225596	47.2761584709	5.26048664832	26.2683225596	21.0078359113	5.26048664832
46.144	3.383	3.383	6.16	7.08	30	42	12	8	0	0.002965438	5.65675712403	6.29586065409	11.9526177781	0.639103530064	6.29586065409	5.65675712403	0.639103530064
58.185	1.657	1.654	10.33	15.5	0	30	30	8	0	0.002965438	10.33	14.2337232829	24.5637232829	3.90372328287	14.2337232829	10.33	3.90372328287
70.226	5.032	5.029	5.83	6.41	30	42	12	7	0	0.002965438	5.35371656381	5.70006593118	11.053782495	0.346349367364	5.35371656381	5.70006593118	0.346349367364
82.267	2.548	2.548	28.3	32.54	14	30	16	8	0	0.002965438	27.1719267043	29.8816358467	57.053562551	2.70970914249	29.8816358467	27.1719267043	2.70970914249
94.309	2.668	2.667	25.49	26.25	0	30	30	7	0	0.002965438	25.49	24.1054991081	49.5954991081	1.38450089192	25.49	24.1054991081	1.38450089192
106.35	2.211	2.208	23.37	31.55	14	30	16	8	0	0.002965438	22.4384426529	28.9725141661	51.410956819	6.53407151314	28.9725141661	22.4384426529	6.53407151314
118.391	2.856	2.855	15.3	16.07	14	30	16	8	0	0.002965438	14.6901229178	14.7571569778	29.4472798956	0.067034059937	14.7571569778	14.6901229178	0.067034059937
130.449	2.573	2.573	10.41	15.62	30	42	12	8	0	0.002965438	9.55955221772	13.8900202566	23.4495724743	4.33046803891	13.8900202566	9.55955221772	4.33046803891
142.475	2.582	2.579	22.31	22.98	14	30	16	7	0	0.002965438	21.420695575	21.1026426478	42.5233382227	0.31805292722	21.420695575	21.1026426478	0.31805292722
154.515	3.238	3.235	15.84	17.42	0	14	14	8	0	0.002965438	15.84	16.7256170738	32.5656170738	0.885617073783	16.7256170738	15.84	0.885617073783
178.581	2.033	2.033	13.17	13.3	14	30	16	8	0	0.002965438	12.6450273744	12.2134528814	24.8584802558	0.431574492955	12.2134528814	12.6450273744	0.431574492955
190.622	1.56	1.56	13.99	18.89	0	30	30	8	0	0.002965438	13.99	17.3467763105	31.3367763105	3.35677631054	17.3467763105	13.99	3.35677631054
202.664	5.76	5.758	9.12	9.21	14	42	28	7	0	0.002965438	8.75646542554	8.18995432545	16.946419751	0.566511100088	8.75646542554	8.18995432545	0.566511100088
226.729	2.503	2.5	10.72	10.83	0	14	14	7	0	0.002965438	10.72	10.3983026928	21.1183026928	0.321697307171	10.72	10.3983026928	0.321697307171
238.771	2.714	2.714	15.99	16.47	0	14	14	7	0	0.002965438	15.99	15.8134852586	31.8034852586	0.176514741377	15.99	15.8134852586	0.176514741377
250.829	3.472	3.472	26.75	33.44	30	42	12	8	0	0.002965438	24.564651472	29.7363813945	54.3010328665	5.17172992243	29.7363813945	24.564651472	5.17172992243
262.87	1.738	1.735	16.87	17.04	0	30	30	8	0	0.002965438	16.87	15.6479125639	32.5179125639	1.22208743613	15.6479125639	16.87	1.22208743613
274.911	2.622	2.621	15.33	16.1	0	30	30	7	0	0.002965438	15.33	14.7847061196	30.1147061196	0.545293880379	15.33	14.7847061196	0.545293880379
286.969	2.916	2.915	16.95	17.8	30	42	12	7	0	0.002965438	15.5652651384	15.8285762207	31.3938413591	0.263311082384	15.5652651384	15.8285762207	0.263311082384
299.027	2.841	2.841	8.84	9.72	14	42	28	8	0	0.002965438	8.48762657476	8.64346971155	17.1310962863	0.155843136796	8.64346971155	8.48762657476	0.155843136796
311.052	3.779	3.776	16.62	24.93	14	42	28	8	0	0.002965438	15.9575060715	22.1688991676	38.1264052391	6.21139309605	22.1688991676	15.9575060715	6.21139309605
323.093	1.711	1.711	9.09	11.36	0	14	14	7	0	0.002965438	9.09	10.9071762318	19.9971762318	1.81717623181	9.09	10.9071762318	1.81717623181
335.151	2.301	2.301	7.66	11.49	0	14	14	8	0	0.002965438	7.66	11.0319942697	18.6919942697	3.37199426968	11.0319942697	7.66	3.37199426968
347.192	2.551	2.548	5.84	7.3	14	42	28	8	0	0.002965438	5.60721031635	6.49149474221	12.0987050586	0.88428442586	6.49149474221	5.60721031635	0.88428442586
359.234	1.97	1.971	16.73	17.57	14	42	28	8	0	0.002965438	16.0631213344	15.6240496741	31.6871710084	0.439071660281	15.6240496741	16.0631213344	0.439071660281
371.292	4.184	4.184	13.75	15.12	14	30	16	8	0	0.002965438	13.201907851	13.8847674863	27.0866753373	0.682859635247	13.8847674863	13.201907851	0.682859635247
383.35	2.605	2.606	23.03	26.48	14	42	28	8	0	0.002965438	22.111995477	23.547230243	45.65922572	1.435234766	23.547230243	22.111995477	1.435234766
395.391	3.231	3.228	14.38	14.81	14	42	28	7	0	0.002965438	13.8067952653	13.169731114	26.9765263793	0.63706415127	13.8067952653	13.169731114	0.63706415127
407.432	4.742	4.739	18.01	18.55	30	42	12	7	0	0.002965438	16.53866815	16.4955106121	33.034178762	0.0431575378953	16.53866815	16.4955106121	0.0431575378953
419.473	5.373	5.37	10.57	14.27	0	14	14	8	0	0.002965438	10.57	13.7011800025	24.2711800025	3.13118000246	13.7011800025	10.57	3.13118000246
431.515	1.53	1.528	11.37	11.94	0	14	14	7	0	0.002965438	11.37	11.4640567084	22.8340567084	0.094056708437	11.37	11.4640567084	0.094056708437
443.556	1.583	1.583	15.65	18.0	0	14	14	8	0	0.002965438	15.65	17.2824975504	32.9324975504	1.63249755041	17.2824975504	15.65	1.63249755041
455.614	1.949	1.948	10.89	11.98	0	30	30	7	0	0.002965438	10.89	11.0012906406	21.8912906406	0.111290640563	10.89	11.0012906406	0.111290640563
467.672	2.306	2.306	9.22	10.6	0	30	30	8	0	0.002965438	9.22	9.73403011602	18.954030116	0.514030116024	9.73403011602	9.22	0.514030116024
479.713	9.236	9.233	6.72	9.07	30	42	12	8	0	0.002965438	6.17100777167	8.06545990574	14.2364676774	1.89445213407	8.06545990574	6.17100777167	1.89445213407
491.754	2.464	2.464	11.84	11.96	30	42	12	7	0	0.002965438	10.8727279787	10.635380427	21.5081084056	0.237347551682	10.8727279787	10.635380427	0.237347551682
503.812	3.366	3.366	8.92	13.38	14	30	16	8	0	0.002965438	8.56443767498	12.2869172597	20.8513549346	3.72247958468	12.2869172597	8.56443767498	3.72247958468
