onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.029	2.347	2.346	29.59	29.59	0	14	14	7	0	0.020085502	29.59	23.0955890104	52.6855890104	6.49441098963	29.59	23.0955890104	6.49441098963
22.07	1.889	1.889	0.2	23.47	30	42	12	8	0	0.020085502	0.12479992544	12.7305887969	12.8553887223	12.6057888714	12.7305887969	0.12479992544	12.6057888714
34.111	2.403	2.4	20.25	23.29	0	30	30	7	0	0.020085502	20.25	14.5329513174	34.7829513174	5.71704868257	20.25	14.5329513174	5.71704868257
46.153	2.334	2.335	19.8	29.7	14	42	28	8	0	0.020085502	15.4542974791	16.1098631132	31.5641605923	0.655565634164	16.1098631132	15.4542974791	0.655565634164
58.211	1.9	1.9	8.63	11.65	0	14	14	7	0	0.020085502	8.63	9.09305887026	17.7230588703	0.463058870255	8.63	9.09305887026	0.463058870255
70.252	1.853	1.85	17.89	18.78	30	42	12	7	0	0.020085502	11.1633533306	10.186640716	21.3499940466	0.976712614528	11.1633533306	10.186640716	0.976712614528
82.293	1.449	1.449	14.39	15.11	0	14	14	7	0	0.020085502	14.39	11.7936583287	26.1836583287	2.59634167128	14.39	11.7936583287	2.59634167128
94.351	2.263	2.263	19.05	28.58	30	42	12	8	0	0.020085502	11.8871928981	15.5023531238	27.3895460219	3.61516022565	15.5023531238	11.8871928981	3.61516022565
106.409	1.973	1.972	25.72	26.49	0	14	14	7	0	0.020085502	25.72	20.6759767788	46.3959767788	5.0440232212	25.72	20.6759767788	5.0440232212
118.45	2.582	2.579	18.81	25.39	30	42	12	7	0	0.020085502	11.7374329876	13.7720344931	25.5094674807	2.0346015055	11.7374329876	13.7720344931	2.0346015055
130.491	2.893	2.89	17.08	19.64	30	42	12	7	0	0.020085502	10.6579136325	10.6531216008	21.3110352333	0.00479203173754	10.6579136325	10.6531216008	0.00479203173754
142.517	2.496	2.496	18.36	22.95	14	42	28	7	0	0.020085502	14.3303485715	12.4485305875	26.778879159	1.881817984	14.3303485715	12.4485305875	1.881817984
154.557	2.136	2.135	23.54	25.89	30	42	12	7	0	0.020085502	14.6889512242	14.0432443098	28.732195534	0.645706914423	14.6889512242	14.0432443098	0.645706914423
166.598	2.569	2.566	23.86	32.21	14	30	16	8	0	0.020085502	18.6232089823	20.099027992	38.7222369744	1.47581900969	20.099027992	18.6232089823	1.47581900969
178.64	2.42	2.42	25.42	38.13	0	30	30	8	0	0.020085502	25.42	23.793105785	49.213105785	1.62689421495	23.793105785	25.42	1.62689421495
190.698	1.746	1.747	19.57	20.55	14	30	16	7	0	0.020085502	15.2747778619	12.8231923389	28.0979702008	2.45158552297	15.2747778619	12.8231923389	2.45158552297
202.739	1.803	1.8	18.78	20.66	14	42	28	7	0	0.020085502	14.6581670029	11.2063896269	25.8645566298	3.45177737596	14.6581670029	11.2063896269	3.45177737596
214.78	1.647	1.647	14.95	15.1	0	30	30	7	0	0.020085502	14.95	9.42239437068	24.3723943707	5.52760562932	14.95	9.42239437068	5.52760562932
226.838	1.909	1.909	6.94	7.01	0	14	14	7	0	0.020085502	6.94	5.47144572365	12.4114457236	1.46855427635	6.94	5.47144572365	1.46855427635
238.863	1.748	1.749	24.01	26.41	14	30	16	7	0	0.020085502	18.7402869935	16.4798301543	35.2201171478	2.26045683926	18.7402869935	16.4798301543	2.26045683926
250.904	1.765	1.762	21.24	26.55	0	30	30	7	0	0.020085502	21.24	16.5671901021	37.8071901021	4.6728098979	21.24	16.5671901021	4.6728098979
262.945	2.089	2.089	18.11	20.83	14	30	16	7	0	0.020085502	14.1352185528	12.9979122345	27.1331307873	1.13730631829	14.1352185528	12.9979122345	1.13730631829
275.003	1.695	1.695	10.9	13.62	0	14	14	7	0	0.020085502	10.9	10.6306834174	21.5306834174	0.269316582586	10.9	10.6306834174	0.269316582586
287.044	2.422	2.422	21.76	32.64	0	14	14	8	0	0.020085502	21.76	25.4761752382	47.2361752382	3.71617523821	25.4761752382	21.76	3.71617523821
299.086	1.854	1.853	12.88	17.39	0	30	30	7	0	0.020085502	12.88	10.851353517	23.731353517	2.02864648303	12.88	10.851353517	2.02864648303
311.127	1.826	1.826	6.11	6.29	14	30	16	7	0	0.020085502	4.76897765642	3.92495765507	8.69393531149	0.844020001344	4.76897765642	3.92495765507	0.844020001344
323.168	1.897	1.897	7.5	7.72	30	42	12	7	0	0.020085502	4.67999720398	4.18747957017	8.86747677415	0.492517633811	4.67999720398	4.18747957017	0.492517633811
335.209	2.027	2.024	17.31	18.18	0	30	30	7	0	0.020085502	17.31	11.3443132225	28.6543132225	5.96568677755	17.31	11.3443132225	5.96568677755
347.234	1.583	1.583	20.41	21.02	14	42	28	7	0	0.020085502	15.9304147246	11.4016606949	27.3320754196	4.52875402968	15.9304147246	11.4016606949	4.52875402968
359.292	2.085	2.084	29.36	29.65	14	30	16	7	0	0.020085502	22.9160693932	18.5015889464	41.4176583396	4.41448044678	22.9160693932	18.5015889464	4.41448044678
371.35	1.458	1.458	12.97	14.27	0	30	30	7	0	0.020085502	12.97	8.90447468011	21.8744746801	4.06552531989	12.97	8.90447468011	4.06552531989
383.374	2.141	2.138	10.46	15.69	14	30	16	7	0	0.020085502	8.16423998136	9.79055415073	17.9547941321	1.62631416937	8.16423998136	9.79055415073	1.62631416937
395.416	1.584	1.585	26.12	28.73	0	14	14	7	0	0.020085502	26.12	22.4243417461	48.5443417461	3.69565825387	26.12	22.4243417461	3.69565825387
407.473	2.278	2.278	15.41	20.8	14	42	28	7	0	0.020085502	12.0278143511	11.2823283756	23.3101427267	0.745485975536	12.0278143511	11.2823283756	0.745485975536
419.515	1.804	1.804	22.57	22.8	30	42	12	7	0	0.020085502	14.0836715859	12.3671676425	26.4508392283	1.71650394338	14.0836715859	12.3671676425	1.71650394338
431.556	2.022	2.019	17.35	21.69	30	42	12	7	0	0.020085502	10.8263935319	11.7650818494	22.5914753812	0.938688317475	10.8263935319	11.7650818494	0.938688317475
443.597	2.394	2.394	20.27	23.31	0	14	14	7	0	0.020085502	20.27	18.1939229413	38.4639229413	2.07607705874	20.27	18.1939229413	2.07607705874
455.638	2.137	2.136	13.95	14.09	14	42	28	7	0	0.020085502	10.8882550421	7.6426926352	18.5309476773	3.24556240687	10.8882550421	7.6426926352	3.24556240687
467.68	2.521	2.518	21.6	27.0	14	30	16	8	0	0.020085502	16.8592336135	16.8479899343	33.7072235479	0.0112436791835	16.8479899343	16.8592336135	0.0112436791835
479.721	2.141	2.141	29.17	30.05	0	30	30	7	0	0.020085502	29.17	18.7511887973	47.9211887973	10.4188112027	29.17	18.7511887973	10.4188112027
491.762	1.684	1.684	12.65	13.28	14	42	28	7	0	0.020085502	9.87357894496	7.20333273211	17.0769116771	2.67024621285	9.87357894496	7.20333273211	2.67024621285
503.803	2.842	2.842	29.09	33.45	14	42	28	8	0	0.020085502	22.705328973	18.1439367386	40.8492657117	4.56139223439	18.1439367386	22.705328973	4.56139223439
