onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.042	1.814	1.813	27.4	27.4	14	30	16	7	0	0.006446476	25.1318351868	22.9597212415	48.0915564283	2.17211394535	25.1318351868	22.9597212415	2.17211394535
22.083	2.212	2.212	0.08	13.19	0	30	30	8	0	0.006446476	0.08	11.0525081451	11.1325081451	10.9725081451	11.0525081451	0.08	10.9725081451
34.124	4.326	4.323	20.17	25.21	14	42	28	8	0	0.006446476	18.5003326905	19.8386468475	38.3389795379	1.338314157	19.8386468475	18.5003326905	1.338314157
46.166	2.177	2.178	18.03	19.83	30	42	12	7	0	0.006446476	15.1081669337	15.6049332402	30.7131001739	0.49676630646	15.1081669337	15.6049332402	0.49676630646
58.207	2.64	2.639	21.16	21.37	14	30	16	7	0	0.006446476	19.4083807501	17.9069066763	37.3152874264	1.50147407383	19.4083807501	17.9069066763	1.50147407383
70.248	2.473	2.47	20.0	21.0	0	14	14	7	0	0.006446476	20.0	19.2616255082	39.2616255082	0.738374491832	20.0	19.2616255082	0.738374491832
82.289	3.776	3.773	6.49	6.81	14	30	16	7	0	0.006446476	5.95275950229	5.70641246915	11.6591719714	0.24634703314	5.95275950229	5.70641246915	0.24634703314
94.331	4.195	4.195	9.46	10.88	14	42	28	7	0	0.006446476	8.6769036813	8.56185948831	17.2387631696	0.115044192984	8.6769036813	8.56185948831	0.115044192984
106.372	1.866	1.866	10.49	10.59	0	30	30	7	0	0.006446476	10.49	8.87384846524	19.3638484652	1.61615153476	10.49	8.87384846524	1.61615153476
118.413	2.787	2.784	14.52	19.6	30	42	12	8	0	0.006446476	12.1669763659	15.4239380488	27.5909144147	3.25696168287	15.4239380488	12.1669763659	3.25696168287
130.455	5.793	5.791	17.64	19.4	14	42	28	7	0	0.006446476	16.1797654269	15.2665509259	31.4463163527	0.913214501006	16.1797654269	15.2665509259	0.913214501006
142.496	2.405	2.405	13.8	17.25	0	14	14	8	0	0.006446476	13.8	15.8220495246	29.6220495246	2.02204952457	15.8220495246	13.8	2.02204952457
154.537	4.399	4.396	9.88	11.36	0	14	14	8	0	0.006446476	9.88	10.4196221797	20.2996221797	0.539622179657	10.4196221797	9.88	0.539622179657
166.578	3.677	3.674	17.79	18.32	0	30	30	7	0	0.006446476	17.79	15.3511712826	33.1411712826	2.43882871736	17.79	15.3511712826	2.43882871736
178.604	3.752	3.752	5.07	6.84	0	30	30	7	0	0.006446476	5.07	5.73155085007	10.8015508501	0.661550850068	5.07	5.73155085007	0.661550850068
190.661	3.343	3.343	15.55	23.32	14	30	16	8	0	0.006446476	14.2627750787	19.5409014362	33.8036765149	5.27812635753	19.5409014362	14.2627750787	5.27812635753
202.686	2.577	2.574	17.5	26.25	0	14	14	8	0	0.006446476	17.5	24.0770318852	41.5770318852	6.57703188521	24.0770318852	17.5	6.57703188521
214.711	4.023	4.021	13.26	16.58	30	42	12	8	0	0.006446476	11.1111643672	13.0473924923	24.1585568595	1.93622812507	13.0473924923	11.1111643672	1.93622812507
226.752	2.324	2.324	15.32	17.62	0	30	30	8	0	0.006446476	15.32	14.7646090611	30.0846090611	0.555390938861	14.7646090611	15.32	0.555390938861
238.777	2.45	2.45	29.46	30.34	30	42	12	7	0	0.006446476	24.6858900648	23.8756265511	48.5615166158	0.810263513711	24.6858900648	23.8756265511	0.810263513711
250.817	2.613	2.61	22.45	23.12	14	42	28	7	0	0.006446476	20.5915948885	18.1939514127	38.7855463012	2.39764347583	20.5915948885	18.1939514127	2.39764347583
262.859	3.411	3.408	9.99	11.49	30	42	12	8	0	0.006446476	8.37108084681	9.0418902133	17.4129710601	0.670809366493	9.0418902133	8.37108084681	0.670809366493
274.884	4.471	4.471	23.2	25.52	0	30	30	7	0	0.006446476	23.2	21.3843827038	44.5843827038	1.81561729624	23.2	21.3843827038	1.81561729624
286.941	1.264	1.261	7.57	7.95	30	42	12	7	0	0.006446476	6.34325145249	6.25613813714	12.5993895896	0.0871133153456	6.34325145249	6.25613813714	0.0871133153456
298.983	2.067	2.068	17.27	25.9	14	42	28	8	0	0.006446476	15.8403939298	20.3816324216	36.2220263514	4.54123849182	20.3816324216	15.8403939298	4.54123849182
311.041	3.217	3.218	25.98	26.24	30	42	12	7	0	0.006446476	21.7698378779	20.6491905306	42.4190284085	1.12064734725	21.7698378779	20.6491905306	1.12064734725
323.099	2.943	2.944	14.56	14.71	0	14	14	7	0	0.006446476	14.56	13.4923100583	28.0523100583	1.06768994166	14.56	13.4923100583	1.06768994166
335.123	2.049	2.047	17.47	17.99	0	14	14	7	0	0.006446476	17.47	16.5007925187	33.9707925187	0.969207481336	17.47	16.5007925187	0.969207481336
347.164	2.446	2.445	13.89	20.84	30	42	12	8	0	0.006446476	11.6390703666	16.3997382111	28.0388085777	4.76066784449	16.3997382111	11.6390703666	4.76066784449
359.222	1.803	1.803	11.48	15.5	14	30	16	8	0	0.006446476	10.5296886111	12.988163476	23.5178520872	2.4584748649	12.988163476	10.5296886111	2.4584748649
371.264	2.657	2.657	24.31	26.74	0	14	14	8	0	0.006446476	24.31	24.5264698137	48.8364698137	0.216469813735	24.5264698137	24.31	0.216469813735
383.289	2.162	2.16	29.13	39.33	0	14	14	8	0	0.006446476	29.13	36.074272916	65.204272916	6.94427291601	36.074272916	29.13	6.94427291601
395.33	2.767	2.767	10.31	10.62	14	30	16	7	0	0.006446476	9.45654090425	8.89898684616	18.3555277504	0.557554058091	9.45654090425	8.89898684616	0.557554058091
407.388	1.676	1.677	8.37	11.3	14	42	28	8	0	0.006446476	7.6771335954	8.8923724465	16.5695060419	1.2152388511	8.8923724465	7.6771335954	1.2152388511
419.412	1.919	1.916	13.72	20.58	0	30	30	8	0	0.006446476	13.72	17.244929312	30.964929312	3.52492931205	17.244929312	13.72	3.52492931205
431.453	2.35	2.347	23.53	23.77	14	42	28	7	0	0.006446476	21.5821927718	18.7054595622	40.287652334	2.87673320953	21.5821927718	18.7054595622	2.87673320953
443.495	2.937	2.937	13.11	16.39	0	30	30	8	0	0.006446476	13.11	13.7339354434	26.8439354434	0.623935443364	13.7339354434	13.11	0.623935443364
455.553	2.247	2.246	10.06	11.07	14	30	16	7	0	0.006446476	9.22723583867	9.27606255998	18.5032983987	0.0488267213031	9.22723583867	9.27606255998	0.0488267213031
467.594	2.512	2.509	13.72	14.41	0	30	30	7	0	0.006446476	13.72	12.0748023026	25.7948023026	1.64519769744	13.72	12.0748023026	1.64519769744
479.635	3.159	3.156	22.56	25.94	14	30	16	8	0	0.006446476	20.6924891173	21.7363200367	42.428809154	1.04383091931	21.7363200367	20.6924891173	1.04383091931
491.677	8.82	8.819	11.23	14.04	14	30	16	8	0	0.006446476	10.3003835456	11.7647622712	22.0651458168	1.46437872563	11.7647622712	10.3003835456	1.46437872563
503.718	2.321	2.32	20.11	21.12	14	42	28	7	0	0.006446476	18.4452994747	16.6200801832	35.0653796579	1.82521929153	18.4452994747	16.6200801832	1.82521929153
