onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.044	1.31	1.308	7.9	7.9	0	14	14	7	0	0.018340358	7.9	6.28598021473	14.1859802147	1.61401978527	7.9	6.28598021473	1.61401978527
22.085	1.131	1.13	0.05	5.98	14	42	28	8	0	0.018340358	0.0397846849034	3.37796801007	3.41775269498	3.33818332517	3.37796801007	0.0397846849034	3.33818332517
34.143	2.016	2.016	16.34	20.42	14	42	28	7	0	0.018340358	13.0016350264	11.5348004625	24.5364354889	1.46683456393	13.0016350264	11.5348004625	1.46683456393
46.184	2.703	2.703	8.29	12.44	0	14	14	7	0	0.018340358	8.29	9.89842960396	18.188429604	1.60842960396	8.29	9.89842960396	1.60842960396
58.225	1.246	1.246	12.37	12.99	0	30	30	7	0	0.018340358	12.37	8.37950587286	20.7495058729	3.99049412714	12.37	8.37950587286	3.99049412714
70.283	1.3	1.3	7.09	8.86	0	14	14	7	0	0.018340358	7.09	7.04984616488	14.1398461649	0.0401538351228	7.09	7.04984616488	0.0401538351228
82.325	1.586	1.585	7.41	9.26	30	42	12	7	0	0.018340358	4.77999526697	5.23076651727	10.0107617842	0.450771250305	4.77999526697	5.23076651727	0.450771250305
94.366	1.595	1.592	20.47	21.49	14	30	16	7	0	0.018340358	16.2878499994	13.8626313478	30.1504813472	2.42521865165	16.2878499994	13.8626313478	2.42521865165
106.407	1.711	1.711	19.09	19.28	14	42	28	7	0	0.018340358	15.1897926961	10.8908400057	26.0806327018	4.29895269038	15.1897926961	10.8908400057	4.29895269038
118.465	3.869	3.869	7.37	11.06	14	42	28	8	0	0.018340358	5.86426255476	6.24754618586	12.1118087406	0.383283631098	6.24754618586	5.86426255476	0.383283631098
130.523	2.379	2.378	13.45	20.18	30	42	12	8	0	0.018340358	8.67623972209	11.39922984	20.0754695621	2.72299011792	11.39922984	8.67623972209	2.72299011792
142.565	1.067	1.065	9.28	9.37	0	14	14	7	0	0.018340358	9.28	7.45564995089	16.7356499509	1.82435004911	9.28	7.45564995089	1.82435004911
154.606	1.279	1.279	12.61	13.87	30	42	12	7	0	0.018340358	8.13437791045	7.83485222403	15.9692301345	0.299525686418	8.13437791045	7.83485222403	0.299525686418
166.664	3.229	3.229	7.74	11.61	14	30	16	8	0	0.018340358	6.15866922304	7.48930432517	13.6479735482	1.33063510212	7.48930432517	6.15866922304	1.33063510212
178.722	1.499	1.499	11.03	12.68	30	42	12	7	0	0.018340358	7.1151616457	7.16264788758	14.2778095333	0.0474862418808	7.1151616457	7.16264788758	0.0474862418808
190.763	3.38	3.377	14.42	19.47	14	42	28	8	0	0.018340358	11.4739031261	10.9981667485	22.4720698746	0.475736377615	10.9981667485	11.4739031261	0.475736377615
202.804	2.04	2.04	6.27	6.9	14	42	28	7	0	0.018340358	4.98899948688	3.89765539624	8.88665488312	1.09134409064	4.98899948688	3.89765539624	1.09134409064
214.847	1.317	1.317	9.02	9.92	0	14	14	7	0	0.018340358	9.02	7.89328148483	16.9132814848	1.12671851517	9.02	7.89328148483	1.12671851517
226.887	2.032	2.029	12.16	12.28	30	42	12	7	0	0.018340358	7.84409479707	6.93669685012	14.7807916472	0.907397946955	7.84409479707	6.93669685012	0.907397946955
238.928	2.534	2.532	13.72	14.41	14	42	28	7	0	0.018340358	10.9169175375	8.13988612461	19.0568036621	2.77703141288	10.9169175375	8.13988612461	2.77703141288
250.969	1.387	1.386	17.58	17.76	0	30	30	7	0	0.018340358	17.58	11.4565068747	29.0365068747	6.12349312533	17.58	11.4565068747	6.12349312533
263.011	1.416	1.416	15.91	17.5	0	30	30	7	0	0.018340358	15.91	11.2887877425	27.1987877425	4.6212122575	15.91	11.2887877425	4.6212122575
275.052	1.682	1.679	23.37	26.88	0	30	30	7	0	0.018340358	23.37	17.3395779725	40.7095779725	6.03042202752	23.37	17.3395779725	6.03042202752
287.093	3.048	3.046	26.93	28.28	30	42	12	7	0	0.018340358	17.3718316517	15.9747383486	33.3465700004	1.3970933031	17.3718316517	15.9747383486	1.3970933031
299.135	2.564	2.564	28.86	31.75	14	30	16	7	0	0.018340358	22.9637201262	20.4810863328	43.444806459	2.48263379341	22.9637201262	20.4810863328	2.48263379341
311.193	2.641	2.642	13.05	13.44	30	42	12	7	0	0.018340358	8.41821028798	7.59195485876	16.0101651467	0.826255429216	8.41821028798	7.59195485876	0.826255429216
323.217	2.764	2.761	10.86	12.49	14	30	16	7	0	0.018340358	8.64123356101	8.05696908022	16.6982026412	0.584264480795	8.64123356101	8.05696908022	0.584264480795
335.258	3.419	3.416	14.95	15.1	14	30	16	7	0	0.018340358	11.8956207861	9.74061113781	21.6362319239	2.1550096483	11.8956207861	9.74061113781	2.1550096483
347.3	1.638	1.638	23.12	24.28	0	14	14	7	0	0.018340358	23.12	19.3194429891	42.4394429891	3.80055701092	23.12	19.3194429891	3.80055701092
359.341	2.637	2.636	9.6	9.89	14	30	16	7	0	0.018340358	7.63865950145	6.37977775847	14.0184372599	1.25888174297	7.63865950145	6.37977775847	1.25888174297
371.382	3.134	3.131	14.9	20.11	30	42	12	8	0	0.018340358	9.61159642076	11.3596884085	20.9712848292	1.7480919877	11.3596884085	9.61159642076	1.7480919877
383.424	3.537	3.538	26.98	33.72	14	30	16	7	0	0.018340358	21.4678159739	21.7518812958	43.2196972697	0.284065321971	21.4678159739	21.7518812958	0.284065321971
395.482	1.143	1.144	10.61	14.32	0	30	30	7	0	0.018340358	10.61	9.23745374129	19.8474537413	1.37254625871	10.61	9.23745374129	1.37254625871
407.506	2.529	2.527	24.71	28.42	14	42	28	7	0	0.018340358	19.6615912792	16.0538212118	35.715412491	3.60777006749	19.6615912792	16.0538212118	3.60777006749
419.547	2.246	2.245	25.57	29.41	0	14	14	7	0	0.018340358	25.57	23.4013516602	48.9713516602	2.16864833984	25.57	23.4013516602	2.16864833984
431.605	2.227	2.227	18.05	27.08	0	30	30	8	0	0.018340358	18.05	17.4685926895	35.5185926895	0.581407310467	17.4685926895	18.05	0.581407310467
443.63	2.474	2.474	16.38	16.87	14	42	28	7	0	0.018340358	13.0334627743	9.52948500501	22.5629477794	3.50397776934	13.0334627743	9.52948500501	3.50397776934
455.655	2.483	2.481	13.24	17.87	14	30	16	8	0	0.018340358	10.5349845624	11.5274649691	22.0624495315	0.992480406641	11.5274649691	10.5349845624	0.992480406641
467.696	1.576	1.576	22.51	23.19	0	30	30	7	0	0.018340358	22.51	14.9592564428	37.4692564428	7.55074355723	22.51	14.9592564428	7.55074355723
479.737	2.295	2.294	20.28	27.38	0	14	14	8	0	0.018340358	20.28	21.7860934531	42.0660934531	1.50609345309	21.7860934531	20.28	1.50609345309
491.762	1.36	1.357	12.89	13.28	0	14	14	7	0	0.018340358	12.89	10.5668123103	23.4568123103	2.32318768966	12.89	10.5668123103	2.32318768966
