onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.04	2.843	2.841	8.32	8.32	30	42	12	7	0	0.011028452	6.25162696338	5.68618679737	11.9378137607	0.565440166004	6.25162696338	5.68618679737	0.565440166004
22.065	1.567	1.567	0.11	11.45	0	14	14	8	0	0.011028452	0.11	9.91858678437	10.0285867844	9.80858678437	9.91858678437	0.11	9.80858678437
34.105	2.831	2.83	10.64	14.36	0	14	14	8	0	0.011028452	10.64	12.4393804562	23.0793804562	1.79938045621	12.4393804562	10.64	1.79938045621
46.147	2.055	2.052	8.23	12.34	30	42	12	8	0	0.011028452	6.18400119093	8.43359916822	14.6176003592	2.24959797728	8.43359916822	6.18400119093	2.24959797728
58.188	2.107	2.107	25.31	34.17	30	42	12	8	0	0.011028452	19.0178700052	23.3530051522	42.3708751574	4.33513514701	23.3530051522	19.0178700052	4.33513514701
70.23	1.841	1.841	10.07	10.57	30	42	12	7	0	0.011028452	7.5665725386	7.22391760195	14.7904901406	0.342654936656	7.5665725386	7.22391760195	0.342654936656
82.254	1.531	1.528	12.36	12.73	0	14	14	7	0	0.011028452	12.36	11.0273894991	23.3873894991	1.33261050087	12.36	11.0273894991	1.33261050087
94.295	2.682	2.679	11.08	16.62	0	14	14	7	0	0.011028452	11.08	14.3971102495	25.4771102495	3.31711024945	11.08	14.3971102495	3.31711024945
106.336	2.19	2.19	16.29	17.92	0	30	30	7	0	0.011028452	16.29	13.4650426903	29.7550426903	2.82495730965	16.29	13.4650426903	2.82495730965
118.379	2.291	2.291	7.69	11.54	14	30	16	8	0	0.011028452	6.66147880976	8.6711268218	15.3326056316	2.00964801203	8.6711268218	6.66147880976	2.00964801203
130.402	1.67	1.667	23.67	23.91	0	30	30	7	0	0.011028452	23.67	17.965913545	41.635913545	5.70408645501	23.67	17.965913545	5.70408645501
142.443	2.186	2.186	29.56	33.99	0	14	14	7	0	0.011028452	29.56	29.4439095896	59.0039095896	0.116090410415	29.56	29.4439095896	0.116090410415
154.501	2.896	2.896	5.12	5.89	14	30	16	7	0	0.011028452	4.43521085904	4.42573110749	8.86094196652	0.00947975155158	4.43521085904	4.42573110749	0.00947975155158
166.559	2.446	2.446	7.94	9.13	30	42	12	8	0	0.011028452	5.96609592418	6.23976988702	12.2058658112	0.273673962836	6.23976988702	5.96609592418	0.273673962836
178.6	2.703	2.7	23.0	25.3	14	30	16	8	0	0.011028452	19.9237987808	19.0103560305	38.9341548113	0.913442750375	19.0103560305	19.9237987808	0.913442750375
190.642	1.818	1.819	5.23	6.54	14	42	28	8	0	0.011028452	4.53049859234	4.46967087197	9.00016946431	0.0608277203651	4.46967087197	4.53049859234	0.0608277203651
