onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.028	2.676	2.676	13.78	13.78	30	42	12	7	0	0.013026721	9.90795502591	8.90685898608	18.814814012	1.00109603983	9.90795502591	8.90685898608	1.00109603983
22.053	1.725	1.722	0.06	6.98	14	42	28	8	0	0.013026721	0.0507453607995	4.51160201182	4.56234737262	4.46085665102	4.51160201182	0.0507453607995	4.46085665102
34.094	1.745	1.745	22.98	23.21	0	14	14	7	0	0.013026721	22.98	19.6299970693	42.6099970693	3.35000293073	22.98	19.6299970693	3.35000293073
46.152	1.711	1.711	17.77	26.66	0	14	14	8	0	0.013026721	17.77	22.5478553152	40.3178553152	4.77785531524	22.5478553152	17.77	4.77785531524
58.193	2.432	2.43	11.55	14.44	14	30	16	8	0	0.013026721	9.7684819539	10.382501493	20.1509834469	0.61401953914	10.382501493	9.7684819539	0.61401953914
70.234	1.933	1.932	11.11	11.67	14	42	28	7	0	0.013026721	9.39634930804	7.54303660142	16.9393859095	1.85331270662	9.39634930804	7.54303660142	1.85331270662
82.292	2.21	2.21	27.7	31.86	0	14	14	8	0	0.013026721	27.7	26.9457865845	54.6457865845	0.754213415471	26.9457865845	27.7	0.754213415471
94.333	2.185	2.185	15.55	15.71	14	42	28	7	0	0.013026721	13.1515060072	10.1543363332	23.3058423404	2.99716967401	13.1515060072	10.1543363332	2.99716967401
106.375	2.185	2.183	22.25	30.04	14	42	28	8	0	0.013026721	18.8180712965	19.4166940451	38.2347653416	0.598622748654	19.4166940451	18.8180712965	0.598622748654
118.416	2.206	2.205	8.71	11.76	0	14	14	7	0	0.013026721	8.71	9.9460907167	18.6560907167	1.2360907167	8.71	9.9460907167	1.2360907167
130.474	3.563	3.563	14.07	17.59	0	14	14	8	0	0.013026721	14.07	14.8768482744	28.9468482744	0.806848274384	14.8768482744	14.07	0.806848274384
142.532	1.761	1.761	5.38	6.72	14	42	28	7	0	0.013026721	4.55016735169	4.34354806868	8.89371542037	0.206619283003	4.55016735169	4.34354806868	0.206619283003
154.573	1.667	1.664	14.98	15.43	0	30	30	7	0	0.013026721	14.98	11.0943211937	26.0743211937	3.88567880626	14.98	11.0943211937	3.88567880626
