onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.04	2.064	2.063	24.42	24.42	14	30	16	7	0	0.017633165	19.5851303178	15.9712757717	35.5564060895	3.61385454612	19.5851303178	15.9712757717	3.61385454612
22.098	1.941	1.941	0.16	20.16	0	14	14	8	0	0.017633165	0.16	16.1685596727	16.3285596727	16.0085596727	16.1685596727	0.16	16.0085596727
34.139	2.844	2.844	29.44	30.32	14	30	16	7	0	0.017633165	23.6112299982	19.8300197133	43.4412497115	3.78121028496	23.6112299982	19.8300197133	3.78121028496
46.164	3.846	3.843	18.51	23.14	14	30	16	8	0	0.017633165	14.8452400566	15.1341245437	29.9793646003	0.288884487073	15.1341245437	14.8452400566	0.288884487073
58.205	1.602	1.602	8.73	10.04	0	14	14	8	0	0.017633165	8.73	8.05219936081	16.7821993608	0.677800639189	8.05219936081	8.73	0.677800639189
70.263	1.928	1.927	26.59	35.9	0	14	14	8	0	0.017633165	26.59	28.7922267981	55.3822267981	2.20222679812	28.7922267981	26.59	2.20222679812
82.304	2.062	2.062	9.99	10.09	14	30	16	7	0	0.017633165	8.01209876638	6.59910616448	14.6112049309	1.41299260191	8.01209876638	6.59910616448	1.41299260191
94.346	1.967	1.964	11.39	12.53	14	30	16	7	0	0.017633165	9.13491541032	8.19492569285	17.3298411032	0.939989717468	9.13491541032	8.19492569285	0.939989717468
106.387	3.99	3.987	20.85	22.94	14	42	28	7	0	0.017633165	16.7219478758	13.1794169703	29.9013648461	3.5425309055	16.7219478758	13.1794169703	3.5425309055
118.428	1.978	1.978	14.13	14.55	0	14	14	7	0	0.017633165	14.13	11.6692729781	25.7992729781	2.46072702193	14.13	11.6692729781	2.46072702193
130.469	2.091	2.088	18.65	21.45	14	30	16	7	0	0.017633165	14.957521721	14.028823313	28.986345034	0.928698408041	14.957521721	14.028823313	0.928698408041
142.511	1.27	1.27	16.36	20.45	14	42	28	7	0	0.017633165	13.1209144963	11.748869967	24.8697844633	1.37204452933	13.1209144963	11.748869967	1.37204452933
154.569	2.628	2.628	8.3	11.2	14	30	16	7	0	0.017633165	6.65669867477	7.32507324501	13.9817719198	0.668374570236	6.65669867477	7.32507324501	0.668374570236
166.627	1.858	1.859	20.51	21.54	14	30	16	7	0	0.017633165	16.4492638337	14.0876855087	30.5369493424	2.36157832498	16.4492638337	14.0876855087	2.36157832498
178.651	3.828	3.825	8.69	11.73	14	42	28	7	0	0.017633165	6.9694833113	6.73908287103	13.7085661823	0.230400440269	6.9694833113	6.73908287103	0.230400440269
190.692	4.609	4.608	29.2	36.5	30	42	12	7	0	0.017633165	19.0975123888	20.9698657112	40.0673781	1.87235332245	19.0975123888	20.9698657112	1.87235332245
202.735	4.189	4.189	16.94	18.63	30	42	12	7	0	0.017633165	11.0791732831	10.7032492658	21.7824225488	0.375924017323	11.0791732831	10.7032492658	0.375924017323
214.775	2.712	2.709	21.65	22.73	30	42	12	7	0	0.017633165	14.1596281924	13.0587684278	27.2183966202	1.10085976453	14.1596281924	13.0587684278	1.10085976453
