	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
1	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
2	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
3	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
4	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
5	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
6	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
7	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
8	-0.052981	-1.674197	5.019657	0.019179	-0.006711	-0.002731	0.31200699999999415	1.5577110000000118	4.320480999999997	4.488775061800377	3.621510349595316
9	-0.808648	-0.260417	3.925608	0.015145	-0.003734	0.004545	0.6973640000000074	0.7082710000000034	3.451488000000001	3.5226082096396993	2.8441277940312397
10	-0.160066	-1.284349	4.327011	0.016594	-0.005104	-0.001339	0.2879339999999928	1.2248739999999998	3.7701840000000004	3.8864629413769	3.1363448574581145
11	-0.753742	-0.504411	3.757182	0.014401	-0.003832	0.00331	0.6696970000000064	0.8300119999999964	3.298076000000002	3.3936775178826313	2.736672501179885
12	-1.353574	-0.056604	3.948664	0.015282	-0.004922	0.006773	1.1976649999999864	0.7210090000000022	3.4236639999999987	3.6107618047401036	2.87030105523236
13	-0.390314	-0.96766	3.682199	0.013794	-0.005375	-0.000381	0.4171079999999989	0.9500849999999872	3.1567030000000003	3.256647069222423	2.619087627461901
14	-0.430177	-0.720394	3.115977	0.011703	-0.003545	0.000821	0.3984180000000066	0.7983070000000012	2.719349000000001	2.806611546254844	2.2775755650906744
15	-0.573231	-0.202935	2.240305	0.008571	-0.001387	0.003063	0.5060040000000043	0.5013309999999933	2.019020000000001	2.090100075416009	1.700303870525563
16	-0.030632	-0.13454	1.05827	0.003329	0.000985	0.001018	0.07329799999999409	0.23235199999999878	1.0746500000000019	1.084061184585078	0.9351146720985594
17	0.275133	-0.32007	0.824893	0.002471	0.000564	-0.001352	0.24599799999999306	0.2696210000000008	0.8231970000000004	0.8792322900485398	0.7597983306555763
18	0.08826	-0.070531	0.403966	0.000102	0.000664	-0.000175	0.08224299999999829	0.06452300000000832	0.46557200000000165	0.4744992900943067	0.4489932188006847
19	-0.114764	0.319374	0.073841	-7.1e-05	0.002091	0.002102	0.15036399999999617	0.25731400000000804	0.29512300000000025	0.31853874173481134	0.29016317523249385
20	-0.231322	0.942945	-0.989296	-0.006088	0.003117	0.003615	0.27509900000001153	0.7996749999999935	0.7224520000000005	1.0312490355219712	0.7311807903063174
21	0.313769	0.616641	-2.100832	-0.010896	0.00353	-0.000629	0.2860379999999907	0.6605550000000022	1.7229360000000007	1.8072444351802572	1.3157426031051809
22	0.539641	0.827387	-3.150969	-0.015198	0.005514	-0.001169	0.4939709999999877	0.9126449999999977	2.594988999999998	2.707267869272082	2.0123069866870993
23	0.783256	1.01519	-4.144497	-0.02042	0.006407	-0.002549	0.7038719999999898	1.2217040000000026	3.455326000000003	3.60709846456761	2.6763007375736527
24	0.711606	1.310322	-4.631053	-0.022143	0.00701	-0.001626	0.6515920000000008	1.4191980000000015	3.8817570000000003	4.05524508459316	3.052560202024617
25	0.856398	1.422741	-5.077042	-0.023775	0.008367	-0.001863	0.7880540000000025	1.5486130000000031	4.223355999999999	4.435050927920106	3.3423033384029326
26	0.995399	1.610529	-5.786033	-0.02543	0.011236	-0.001449	0.9259090000000043	1.6822869999999952	4.7719619999999985	4.995629493889535	3.795341315461484
27	0.789603	1.796711	-5.648974	-0.026367	0.009271	-0.000708	0.7462969999999842	1.7954050000000024	4.719304000000001	4.971257344139508	3.7545105314522695
28	-0.583511	3.649333	-6.558869	-0.034608	0.005657	0.006601	0.6644040000000047	3.3136319999999984	5.717482000000004	6.396051709971472	4.848316549679999
29	-0.068573	3.713218	-7.937537	-0.042003	0.006501	0.003659	0.2986350000000044	3.4546550000000025	6.934541999999997	7.522953098807676	5.659060519553082
30	1.332553	3.546851	-10.616364	-0.054368	0.010188	-0.003877	1.2134500000000017	3.7368160000000046	9.209769000000001	9.695428060569373	7.2851000193133695
31	1.159689	5.334696	-13.928802	-0.072251	0.012391	-0.002062	1.0721779999999939	5.218687000000003	12.168458999999997	12.861243907634556	9.69471550121766
