	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
1	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
2	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
3	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
4	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
5	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
6	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
7	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
8	0.574629	-1.60368	3.493382	0.015747	-0.002652	-0.004432	0.5602079999999887	1.445607999999993	3.0163949999999993	3.258854928034846	2.6206707851135453
9	0.854229	-1.702258	2.850018	0.014257	0.000104	-0.004994	0.7506890000000084	1.5245109999999968	2.564466999999997	2.9329596914253666	2.3586550744112618
10	0.648525	-1.278992	2.27686	0.01095	0.000318	-0.003635	0.5705650000000162	1.1518070000000051	2.0763999999999996	2.3294028623108556	1.8936709350573615
11	0.60776	-1.351905	2.534615	0.009627	-0.00259	-0.004863	0.5849520000000012	1.1767669999999981	2.1989909999999995	2.453313330152713	2.0244309454219493
12	0.331521	-0.678491	1.578356	0.008257	0.002129	-0.000904	0.3041999999999945	0.6456949999999964	1.5655049999999981	1.6623987444852086	1.3267035377981093
13	0.736687	-1.332044	1.857041	0.006745	-0.001214	-0.005456	0.6592569999999967	1.1371620000000036	1.6579739999999994	2.0092938787091366	1.6789363332314418
14	0.711814	-1.060376	1.444305	0.004995	-0.000414	-0.004829	0.6260819999999967	0.8876599999999968	1.317266	1.6260581462893604	1.3701008707361861
15	0.47561	-0.602119	0.763575	0.00029	-0.000635	-0.00341	0.42414700000000494	0.49523699999999593	0.7314749999999997	0.9491849370333479	0.852798336712145
16	0.215869	-0.223613	0.551689	-0.000501	-0.00047	-0.001445	0.19956200000000024	0.19490600000000313	0.5777570000000001	0.6163590927576276	0.5874351117612906
17	0.692772	-0.408038	-0.200109	-0.004035	0.000719	-0.004392	0.5942260000000061	0.40552399999999267	0.27704399999999985	0.6550972077676689	0.48650998057182426
18	0.375091	0.166788	-0.617828	-0.007264	0.000334	-0.002124	0.3271530000000027	0.3645089999999982	0.45472099999999926	0.596122867465259	0.35009320490834817
19	0.909506	-0.545846	-0.446859	-0.004985	0.001356	-0.005649	0.7778779999999941	0.5393460000000019	0.27339100000000016	0.891185687117451	0.6338497894685287
20	0.669492	0.059286	-1.16541	-0.008304	0.002526	-0.003228	0.5793219999999977	0.35834399999999533	0.8644680000000022	1.0289049059830524	0.6831947840228276
21	0.484	0.220126	-1.188107	-0.009801	0.000743	-0.002757	0.41842100000000215	0.47550599999999577	0.9465010000000014	1.0652561050043345	0.6777582915766582
22	0.330661	0.533312	-1.577193	-0.010808	0.001963	-0.001346	0.2914559999999966	0.6541449999999998	1.255661	1.3581732596373688	0.9354451406009864
23	0.318093	0.490531	-1.492471	-0.010718	0.001466	-0.001555	0.2731449999999995	0.632163999999996	1.200962000000004	1.2979427406711763	0.878292967358395
24	0.224533	0.66845	-1.757154	-0.012262	0.001445	-0.001041	0.19526500000000624	0.7602800000000016	1.4350039999999993	1.549619688724624	1.0706009275229522
25	0.132033	0.657231	-1.646091	-0.01131	0.001109	-0.000868	0.10766999999999882	0.734488000000006	1.3628279999999986	1.4758249377378732	1.0321961750529822
26	0.024404	0.658212	-1.659595	-0.012163	7.4e-05	-0.000951	0.07662399999999536	0.7445400000000006	1.4250779999999992	1.5305339867500476	1.051747165939815
27	0.268716	0.543102	-2.020348	-0.014195	0.000175	-0.002482	0.2189339999999902	0.7734069999999988	1.7411239999999992	1.8250383430815915	1.2496152661639472
28	-1.972659	2.086969	-0.719405	-0.006421	-0.001991	0.011137	1.748625000000004	1.7342079999999953	0.7533059999999985	2.362085159155147	1.8482484202247602
29	-2.582777	2.439687	-0.351341	-0.004889	-0.003103	0.014487	2.2889319999999955	1.9988969999999924	0.5038020000000039	2.8267952460019132	2.2093175542337944
30	-1.759063	3.09438	-4.05728	-0.025372	-0.001077	0.009399	1.579899999999995	2.758839000000002	3.7193970000000007	4.588591355732715	3.4975578082288044
31	-1.773547	2.997404	-4.037401	-0.026634	-0.002563	0.008423	1.5935170000000056	2.6939360000000008	3.7872449999999986	4.606818138769311	3.478589885519491
