onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.037	1.803	1.003	17.22	17.22	0	14	14	7	0	0.005227394	17.22	16.0457179441	33.2657179441	1.17428205589	17.22	16.0457179441	1.17428205589
22.095	1.201	1.201	0.13	13.88	14	42	28	8	0	0.005227394	0.1211349206	11.3812420672	11.5023769878	11.2601071466	11.3812420672	0.1211349206	11.2601071466
34.136	1.856	1.056	24.34	32.86	14	30	16	8	0	0.005227394	22.6801843647	28.4054116476	51.0855960122	5.72522728291	28.4054116476	22.6801843647	5.72522728291
46.162	2.432	2.429	14.45	19.51	30	42	12	8	0	0.005227394	12.4911198511	15.9976968827	28.4888167338	3.50657703156	15.9976968827	12.4911198511	3.50657703156
58.202	1.773	1.113	7.86	9.82	0	14	14	7	0	0.005227394	7.86	9.15034554072	17.0103455407	1.29034554072	7.86	9.15034554072	1.29034554072
70.26	1.963	1.963	6.32	6.64	0	30	30	7	0	0.005227394	6.32	5.73986406999	12.05986407	0.580135930009	6.32	5.73986406999	0.580135930009
82.301	1.586	1.506	29.87	37.34	14	30	16	8	0	0.005227394	27.8330775256	32.2780910201	60.1111685457	4.44501349452	32.2780910201	27.8330775256	4.44501349452
94.343	1.85	1.041	15.71	19.64	14	42	28	8	0	0.005227394	14.638689251	16.1042935303	30.7429827813	1.46560427929	16.1042935303	14.638689251	1.46560427929
106.384	1.926	1.926	14.68	15.12	0	14	14	7	0	0.005227394	14.68	14.0889230729	28.7689230729	0.591076927126	14.68	14.0889230729	0.591076927126
118.425	1.853	1.053	12.35	12.72	30	42	12	7	0	0.005227394	10.6758013952	10.4300719809	21.1058733762	0.245729414328	10.6758013952	10.4300719809	0.245729414328
130.466	3.022	3.02	27.38	30.12	0	14	14	7	0	0.005227394	27.38	28.066029296	55.446029296	0.686029295962	27.38	28.066029296	0.686029295962
