onset	duration	response_time	vS	vL	dS	dL	dDiff	choice	no_resp	k	SV_SS	SV_LL	SV_sum	SV_diff	SV_chosen	SV_unchosen	SV_chosen_minus_unchosen_abs
10.037	1.587	1.586	12.23	12.23	30	42	12	7	0	0.002529105	11.3675111234	11.0556429606	22.423154084	0.311868162784	11.3675111234	11.0556429606	0.311868162784
22.078	1.364	1.361	0.07	7.54	0	30	30	8	0	0.002529105	0.07	7.00826115049	7.07826115049	6.93826115049	7.00826115049	0.07	6.93826115049
34.12	3.226	3.223	14.67	15.4	14	42	28	7	0	0.002529105	14.1683351	13.9212511524	28.0895862524	0.247083947618	14.1683351	13.9212511524	0.247083947618
46.161	1.174	1.174	24.12	36.18	0	14	14	8	0	0.002529105	24.12	34.9427650932	59.0627650932	10.8227650932	34.9427650932	24.12	10.8227650932
58.186	1.645	1.645	16.14	20.18	30	42	12	8	0	0.002529105	15.0017685635	18.2422628737	33.2440314372	3.24049431019	18.2422628737	15.0017685635	3.24049431019
70.227	2.926	2.923	11.67	12.25	14	30	16	7	0	0.002529105	11.2709250591	11.3861006755	22.6570257346	0.115175616433	11.2709250591	11.3861006755	0.115175616433
82.253	1.249	1.249	25.18	31.48	0	30	30	8	0	0.002529105	25.18	29.2599550421	54.4399550421	4.0799550421	29.2599550421	25.18	4.0799550421
94.309	1.385	1.385	13.75	18.56	14	30	16	8	0	0.002529105	13.2797960208	17.2511043704	30.5309003912	3.97130834965	17.2511043704	13.2797960208	3.97130834965
106.351	1.255	1.255	13.45	16.81	0	14	14	8	0	0.002529105	13.45	16.2351542625	29.6851542625	2.7851542625	16.2351542625	13.45	2.7851542625
118.392	1.56	1.557	17.7	26.55	14	30	16	8	0	0.002529105	17.0947192413	24.6776304437	41.772349685	7.5829112024	24.6776304437	17.0947192413	7.5829112024
130.417	2.74	2.74	27.51	30.26	14	30	16	8	0	0.002529105	26.569250075	28.1259923626	54.6952424376	1.55674228753	28.1259923626	26.569250075	1.55674228753
142.459	1.786	1.786	10.64	12.24	0	14	14	8	0	0.002529105	10.64	11.8214329669	22.4614329669	1.18143296687	11.8214329669	10.64	1.18143296687
154.499	1.596	1.593	16.19	17.0	0	30	30	8	0	0.002529105	16.19	15.8011193048	31.9911193048	0.388880695182	15.8011193048	16.19	0.388880695182
166.54	2.683	2.68	22.17	23.28	30	42	12	8	0	0.002529105	20.6065185287	21.0445926511	41.6511111798	0.438074122434	21.0445926511	20.6065185287	0.438074122434
178.581	2.631	2.631	6.79	7.81	14	30	16	8	0	0.002529105	6.5578047259	7.25922010415	13.8170248301	0.701415378253	7.25922010415	6.5578047259	0.701415378253
190.639	2.045	2.045	9.42	12.72	14	42	28	8	0	0.002529105	9.09786752842	11.4985918609	20.5964593893	2.4007243325	11.4985918609	9.09786752842	2.4007243325
202.681	3.389	3.387	18.93	20.82	0	30	30	7	0	0.002529105	18.93	19.3517237604	38.2817237604	0.421723760371	18.93	19.3517237604	0.421723760371
214.722	1.881	1.881	21.53	23.68	14	42	28	8	0	0.002529105	20.7937460602	21.4061835902	42.1999296503	0.612437529965	21.4061835902	20.7937460602	0.612437529965
226.78	3.111	3.111	21.97	22.63	14	42	28	8	0	0.002529105	21.2186995329	20.4570073752	41.6757069081	0.761692157635	20.4570073752	21.2186995329	0.761692157635
238.821	1.158	1.158	17.75	22.19	14	30	16	8	0	0.002529105	17.1430094087	20.6251080808	37.7681174895	3.48209867216	20.6251080808	17.1430094087	3.48209867216
250.846	1.527	1.525	12.8	14.08	0	14	14	8	0	0.002529105	12.8	13.5985111253	26.3985111253	0.798511125287	13.5985111253	12.8	0.798511125287
262.887	1.819	1.819	10.17	11.7	14	42	28	8	0	0.002529105	9.82222003865	10.5765349664	20.3987550051	0.75431492777	10.5765349664	9.82222003865	0.75431492777
274.945	1.529	1.529	16.65	17.48	0	14	14	7	0	0.002529105	16.65	16.882242505	33.532242505	0.232242504972	16.65	16.882242505	0.232242504972
286.986	1.76	1.76	21.53	22.18	0	14	14	8	0	0.002529105	21.53	21.4215182357	42.9515182357	0.108481764286	21.4215182357	21.53	0.108481764286
299.011	1.599	1.599	23.51	31.74	0	14	14	8	0	0.002529105	23.51	30.6545982327	54.1645982327	7.14459823271	30.6545982327	23.51	7.14459823271
311.068	1.645	1.645	6.91	6.98	0	14	14	7	0	0.002529105	6.91	6.74130736183	13.6513073618	0.168692638175	6.91	6.74130736183	0.168692638175
323.11	2.547	2.547	14.87	15.32	0	30	30	7	0	0.002529105	14.87	14.2395969265	29.1095969265	0.630403073541	14.87	14.2395969265	0.630403073541
